item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel
http://www.wikidata.org/entity/Q3130,https://de.wikipedia.org/wiki/Sydney,https://en.wikipedia.org/wiki/Sydney,Point(151.21 -33.867777777),0.279,-33.867777777778,151.21,253,http://www.wikidata.org/entity/Q200250,Sydney,metropolis
http://www.wikidata.org/entity/Q3130,https://de.wikipedia.org/wiki/Sydney,https://en.wikipedia.org/wiki/Sydney,Point(151.21 -33.867777777),0.279,-33.867777777778,151.21,253,http://www.wikidata.org/entity/Q208511,Sydney,global city
http://www.wikidata.org/entity/Q3130,https://de.wikipedia.org/wiki/Sydney,https://en.wikipedia.org/wiki/Sydney,Point(151.21 -33.867777777),0.279,-33.867777777778,151.21,253,http://www.wikidata.org/entity/Q1066984,Sydney,financial centre
http://www.wikidata.org/entity/Q3130,https://de.wikipedia.org/wiki/Sydney,https://en.wikipedia.org/wiki/Sydney,Point(151.21 -33.867777777),0.279,-33.867777777778,151.21,253,http://www.wikidata.org/entity/Q1549591,Sydney,big city
http://www.wikidata.org/entity/Q3130,https://de.wikipedia.org/wiki/Sydney,https://en.wikipedia.org/wiki/Sydney,Point(151.21 -33.867777777),0.279,-33.867777777778,151.21,253,http://www.wikidata.org/entity/Q11271835,Sydney,state capital
http://www.wikidata.org/entity/Q3130,https://de.wikipedia.org/wiki/Sydney,https://en.wikipedia.org/wiki/Sydney,Point(151.21 -33.867777777),0.279,-33.867777777778,151.21,253,http://www.wikidata.org/entity/Q51929311,Sydney,largest city
http://www.wikidata.org/entity/Q3130,https://de.wikipedia.org/wiki/Sydney,https://en.wikipedia.org/wiki/Sydney,Point(151.21 -33.867777777),0.279,-33.867777777778,151.21,253,http://www.wikidata.org/entity/Q515,Sydney,city
http://www.wikidata.org/entity/Q45178,https://de.wikipedia.org/wiki/Sydney_Opera_House,https://en.wikipedia.org/wiki/Sydney_Opera_House,Point(151.214897 -33.857058),1.547,-33.857058,151.214897,98,http://www.wikidata.org/entity/Q153562,Sydney Opera House,opera house
http://www.wikidata.org/entity/Q45178,https://de.wikipedia.org/wiki/Sydney_Opera_House,https://en.wikipedia.org/wiki/Sydney_Opera_House,Point(151.214897 -33.857058),1.547,-33.857058,151.214897,98,http://www.wikidata.org/entity/Q570116,Sydney Opera House,tourist attraction
http://www.wikidata.org/entity/Q45178,https://de.wikipedia.org/wiki/Sydney_Opera_House,https://en.wikipedia.org/wiki/Sydney_Opera_House,Point(151.214897 -33.857058),1.547,-33.857058,151.214897,98,http://www.wikidata.org/entity/Q2319498,Sydney Opera House,architectural landmark
http://www.wikidata.org/entity/Q45178,https://de.wikipedia.org/wiki/Sydney_Opera_House,https://en.wikipedia.org/wiki/Sydney_Opera_House,Point(151.214897 -33.857058),1.547,-33.857058,151.214897,98,http://www.wikidata.org/entity/Q38048707,Sydney Opera House,historical cultural heritage site
http://www.wikidata.org/entity/Q54495,https://de.wikipedia.org/wiki/Sydney_Harbour_Bridge,https://en.wikipedia.org/wiki/Sydney_Harbour_Bridge,Point(151.210684 -33.852232),1.971,-33.852232,151.210684,66,http://www.wikidata.org/entity/Q5592057,Sydney Harbour Bridge,through arch bridge
http://www.wikidata.org/entity/Q54495,https://de.wikipedia.org/wiki/Sydney_Harbour_Bridge,https://en.wikipedia.org/wiki/Sydney_Harbour_Bridge,Point(151.210684 -33.852232),1.971,-33.852232,151.210684,66,http://www.wikidata.org/entity/Q6636777,Sydney Harbour Bridge,road-rail bridge
http://www.wikidata.org/entity/Q54495,https://de.wikipedia.org/wiki/Sydney_Harbour_Bridge,https://en.wikipedia.org/wiki/Sydney_Harbour_Bridge,Point(151.210684 -33.852232),1.971,-33.852232,151.210684,66,http://www.wikidata.org/entity/Q7814330,Sydney Harbour Bridge,toll bridge
http://www.wikidata.org/entity/Q54495,https://de.wikipedia.org/wiki/Sydney_Harbour_Bridge,https://en.wikipedia.org/wiki/Sydney_Harbour_Bridge,Point(151.210684 -33.852232),1.971,-33.852232,151.210684,66,http://www.wikidata.org/entity/Q12042110,Sydney Harbour Bridge,steel bridge
http://www.wikidata.org/entity/Q54495,https://de.wikipedia.org/wiki/Sydney_Harbour_Bridge,https://en.wikipedia.org/wiki/Sydney_Harbour_Bridge,Point(151.210684 -33.852232),1.971,-33.852232,151.210684,66,http://www.wikidata.org/entity/Q18615527,Sydney Harbour Bridge,tram bridge
http://www.wikidata.org/entity/Q54495,https://de.wikipedia.org/wiki/Sydney_Harbour_Bridge,https://en.wikipedia.org/wiki/Sydney_Harbour_Bridge,Point(151.210684 -33.852232),1.971,-33.852232,151.210684,66,http://www.wikidata.org/entity/Q38048707,Sydney Harbour Bridge,historical cultural heritage site
http://www.wikidata.org/entity/Q487556,https://de.wikipedia.org/wiki/Universit%C3%A4t_Sydney,https://en.wikipedia.org/wiki/University_of_Sydney,Point(151.19 -33.8875),2.589,-33.8875,151.19,59,http://www.wikidata.org/entity/Q62078547,University of Sydney,public research university
http://www.wikidata.org/entity/Q54504,https://de.wikipedia.org/wiki/Port_Jackson,https://en.wikipedia.org/wiki/Port_Jackson,Point(151.233333333 -33.858333333),2.643,-33.858333333333,151.23333333333,42,http://www.wikidata.org/entity/Q39594,Port Jackson,bay
http://www.wikidata.org/entity/Q781365,https://de.wikipedia.org/wiki/Australian_Broadcasting_Corporation,https://en.wikipedia.org/wiki/Australian_Broadcasting_Corporation,Point(151.20189 -33.8824),1.516,-33.8824,151.20189,36,http://www.wikidata.org/entity/Q699386,Australian Broadcasting Corporation,statutory corporation
http://www.wikidata.org/entity/Q781365,https://de.wikipedia.org/wiki/Australian_Broadcasting_Corporation,https://en.wikipedia.org/wiki/Australian_Broadcasting_Corporation,Point(151.20189 -33.8824),1.516,-33.8824,151.20189,36,http://www.wikidata.org/entity/Q1061197,Australian Broadcasting Corporation,radio network
http://www.wikidata.org/entity/Q781365,https://de.wikipedia.org/wiki/Australian_Broadcasting_Corporation,https://en.wikipedia.org/wiki/Australian_Broadcasting_Corporation,Point(151.20189 -33.8824),1.516,-33.8824,151.20189,36,http://www.wikidata.org/entity/Q1126006,Australian Broadcasting Corporation,public broadcaster
http://www.wikidata.org/entity/Q781365,https://de.wikipedia.org/wiki/Australian_Broadcasting_Corporation,https://en.wikipedia.org/wiki/Australian_Broadcasting_Corporation,Point(151.20189 -33.8824),1.516,-33.8824,151.20189,36,http://www.wikidata.org/entity/Q1254874,Australian Broadcasting Corporation,television network
http://www.wikidata.org/entity/Q781365,https://de.wikipedia.org/wiki/Australian_Broadcasting_Corporation,https://en.wikipedia.org/wiki/Australian_Broadcasting_Corporation,Point(151.20189 -33.8824),1.516,-33.8824,151.20189,36,http://www.wikidata.org/entity/Q11028,Australian Broadcasting Corporation,information
http://www.wikidata.org/entity/Q781365,https://de.wikipedia.org/wiki/Australian_Broadcasting_Corporation,https://en.wikipedia.org/wiki/Australian_Broadcasting_Corporation,Point(151.20189 -33.8824),1.516,-33.8824,151.20189,36,http://www.wikidata.org/entity/Q43229,Australian Broadcasting Corporation,organization
http://www.wikidata.org/entity/Q249809,https://de.wikipedia.org/wiki/Olympische_Sommerspiele_2000/Leichtathletik,https://en.wikipedia.org/wiki/Athletics_at_the_2000_Summer_Olympics,Point(151.21 -33.8678),0.277,-33.8678,151.21,33,http://www.wikidata.org/entity/Q26132862,athletics at the 2000 Summer Olympics,Olympic sports discipline event
http://www.wikidata.org/entity/Q827268,https://de.wikipedia.org/wiki/Sydney_Tower,https://en.wikipedia.org/wiki/Sydney_Tower,Point(151.208889 -33.870278),0.074,-33.870278,151.208889,32,http://www.wikidata.org/entity/Q1068623,Sydney Tower,transmitter mast
http://www.wikidata.org/entity/Q827268,https://de.wikipedia.org/wiki/Sydney_Tower,https://en.wikipedia.org/wiki/Sydney_Tower,Point(151.208889 -33.870278),0.074,-33.870278,151.208889,32,http://www.wikidata.org/entity/Q1580122,Sydney Tower,hyperboloid structure
http://www.wikidata.org/entity/Q18638636,https://de.wikipedia.org/wiki/Geiselnahme_von_Sydney,https://en.wikipedia.org/wiki/Lindt_Cafe_siege,Point(151.211048 -33.86795),0.331,-33.86795,151.211048,30,http://www.wikidata.org/entity/Q1371150,2014 Sydney hostage crisis,hostage taking
