item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel
http://www.wikidata.org/entity/Q1498,https://de.wikipedia.org/wiki/Uttar_Pradesh,https://en.wikipedia.org/wiki/Uttar_Pradesh,Point(80.91 26.85),2.776,26.85,80.91,140,http://www.wikidata.org/entity/Q12443800,Uttar Pradesh,state of India
http://www.wikidata.org/entity/Q47916,https://de.wikipedia.org/wiki/Lucknow,https://en.wikipedia.org/wiki/Lucknow,Point(80.947 26.847),1.579,26.847,80.947,115,http://www.wikidata.org/entity/Q1549591,Lucknow,big city
http://www.wikidata.org/entity/Q248705,https://de.wikipedia.org/wiki/Avadh,https://en.wikipedia.org/wiki/Awadh,Point(80.915833 26.860556),3.115,26.860556,80.915833,37,http://www.wikidata.org/entity/Q1620908,Awadh,historical region
http://www.wikidata.org/entity/Q2672666,https://de.wikipedia.org/wiki/Flughafen_Lucknow,https://en.wikipedia.org/wiki/Chaudhary_Charan_Singh_International_Airport,Point(80.88333333 26.76194444),9.879,26.76194444,80.88333333,29,http://www.wikidata.org/entity/Q1248784,Chaudhary Charan Singh Airport,airport
http://www.wikidata.org/entity/Q2672666,https://de.wikipedia.org/wiki/Flughafen_Lucknow,https://en.wikipedia.org/wiki/Chaudhary_Charan_Singh_International_Airport,Point(80.88333333 26.76194444),9.879,26.76194444,80.88333333,29,http://www.wikidata.org/entity/Q94993988,Chaudhary Charan Singh Airport,commercial traffic aerodrome
http://www.wikidata.org/entity/Q2450968,,https://en.wikipedia.org/wiki/Kakori,Point(80.8 26.88),14.141,26.88,80.8,19,http://www.wikidata.org/entity/Q486972,Kakori,human settlement
http://www.wikidata.org/entity/Q2543287,,https://en.wikipedia.org/wiki/Malihabad,Point(80.72 26.94),24.11,26.94,80.72,19,http://www.wikidata.org/entity/Q486972,Malihabad,human settlement
http://www.wikidata.org/entity/Q3630998,,https://en.wikipedia.org/wiki/Bara_Imambara,Point(80.912885 26.869104),4.065,26.869104,80.912885,19,http://www.wikidata.org/entity/Q141140,Bara Imambara,husayniyya
http://www.wikidata.org/entity/Q3630998,,https://en.wikipedia.org/wiki/Bara_Imambara,Point(80.912885 26.869104),4.065,26.869104,80.912885,19,http://www.wikidata.org/entity/Q162875,Bara Imambara,mausoleum
http://www.wikidata.org/entity/Q6697779,https://de.wikipedia.org/wiki/Metro_Lucknow,https://en.wikipedia.org/wiki/Lucknow_Metro,Point(80.947 26.847),1.579,26.847,80.947,19,http://www.wikidata.org/entity/Q5503,Lucknow Metro,rapid transit
http://www.wikidata.org/entity/Q1756056,,https://en.wikipedia.org/wiki/Itaunja,Point(80.92 27.08),26.936,27.08,80.92,18,http://www.wikidata.org/entity/Q486972,Itaunja,human settlement
http://www.wikidata.org/entity/Q3780142,,https://en.wikipedia.org/wiki/Barabanki,Point(81.2 26.92),27.852,26.92,81.2,18,http://www.wikidata.org/entity/Q515,Barabanki,city
http://www.wikidata.org/entity/Q1707530,,"https://en.wikipedia.org/wiki/Gosainganj,_Lucknow",Point(81.12 26.77),19.897,26.77,81.12,17,http://www.wikidata.org/entity/Q486972,Gosainganj,human settlement
http://www.wikidata.org/entity/Q2483390,https://de.wikipedia.org/wiki/Lucknow_(Division),https://en.wikipedia.org/wiki/Lucknow_division,Point(80.92 26.85),1.962,26.85,80.92,17,http://www.wikidata.org/entity/Q125907346,Lucknow division,division of Uttar Pradesh
http://www.wikidata.org/entity/Q2717886,,https://en.wikipedia.org/wiki/Satrikh,Point(81.2 26.87),26.565,26.87,81.2,16,http://www.wikidata.org/entity/Q486972,Satrikh,human settlement
http://www.wikidata.org/entity/Q1925021,,"https://en.wikipedia.org/wiki/Mohan,_Uttar_Pradesh",Point(80.67 26.78),27.041,26.78,80.67,15,http://www.wikidata.org/entity/Q2322432,Mohan,Nagar Panchayat
http://www.wikidata.org/entity/Q1925021,,"https://en.wikipedia.org/wiki/Mohan,_Uttar_Pradesh",Point(80.67 26.78),27.041,26.78,80.67,15,http://www.wikidata.org/entity/Q3957,Mohan,town
http://www.wikidata.org/entity/Q109373985,https://de.wikipedia.org/wiki/Ekana_International_Cricket_Stadium,https://en.wikipedia.org/wiki/Ekana_Cricket_Stadium,Point(81.0168 26.8112),8.687,26.8112,81.0168,14,http://www.wikidata.org/entity/Q483110,Ekana Cricket Stadium,stadium
http://www.wikidata.org/entity/Q109373985,https://de.wikipedia.org/wiki/Ekana_International_Cricket_Stadium,https://en.wikipedia.org/wiki/Ekana_Cricket_Stadium,Point(81.0168 26.8112),8.687,26.8112,81.0168,14,http://www.wikidata.org/entity/Q682943,Ekana Cricket Stadium,cricket field
http://www.wikidata.org/entity/Q4253367,,https://en.wikipedia.org/wiki/University_of_Lucknow,Point(80.9364 26.8656),3.063,26.8656,80.9364,13,http://www.wikidata.org/entity/Q3918,University of Lucknow,university
http://www.wikidata.org/entity/Q7903333,,https://en.wikipedia.org/wiki/Uttar_Pradesh_Legislative_Assembly,Point(80.9442 26.8436),1.132,26.8436,80.9442,13,http://www.wikidata.org/entity/Q3091020,Uttar Pradesh Legislative Assembly,Vidhan Sabha
http://www.wikidata.org/entity/Q608154,https://de.wikipedia.org/wiki/Nawabganj_(Barabanki),"https://en.wikipedia.org/wiki/Nawabganj,_Barabanki",Point(81.19 26.94),27.746,26.94,81.19,13,http://www.wikidata.org/entity/Q486972,Nawabganj,human settlement
http://www.wikidata.org/entity/Q392051,https://de.wikipedia.org/wiki/Bistum_Lucknow,https://en.wikipedia.org/wiki/Roman_Catholic_Diocese_of_Lucknow,Point(80.94275 26.85025),1.574,26.85025,80.94275,12,http://www.wikidata.org/entity/Q3146899,Roman Catholic Diocese of Lucknow,diocese of the Catholic Church
http://www.wikidata.org/entity/Q797585,https://de.wikipedia.org/wiki/Babasaheb_Bhimrao_Ambedkar_University,https://en.wikipedia.org/wiki/Babasaheb_Bhimrao_Ambedkar_University,Point(80.9195 26.7718),7.523,26.7718,80.9195,12,http://www.wikidata.org/entity/Q3918,Babasaheb Bhimrao Ambedkar University,university
http://www.wikidata.org/entity/Q815165,https://de.wikipedia.org/wiki/Belagerung_von_Lucknow,https://en.wikipedia.org/wiki/Siege_of_Lucknow,Point(80.947 26.847),1.579,26.860556,80.915833,12,http://www.wikidata.org/entity/Q188055,Siege of Lucknow,siege
http://www.wikidata.org/entity/Q815165,https://de.wikipedia.org/wiki/Belagerung_von_Lucknow,https://en.wikipedia.org/wiki/Siege_of_Lucknow,Point(80.947 26.847),1.579,26.847,80.947,12,http://www.wikidata.org/entity/Q188055,Siege of Lucknow,siege
http://www.wikidata.org/entity/Q815165,https://de.wikipedia.org/wiki/Belagerung_von_Lucknow,https://en.wikipedia.org/wiki/Siege_of_Lucknow,Point(80.915833 26.860556),3.115,26.860556,80.915833,12,http://www.wikidata.org/entity/Q188055,Siege of Lucknow,siege
http://www.wikidata.org/entity/Q815165,https://de.wikipedia.org/wiki/Belagerung_von_Lucknow,https://en.wikipedia.org/wiki/Siege_of_Lucknow,Point(80.915833 26.860556),3.115,26.847,80.947,12,http://www.wikidata.org/entity/Q188055,Siege of Lucknow,siege
http://www.wikidata.org/entity/Q4118173,https://de.wikipedia.org/wiki/Chhota_Imambara,https://en.wikipedia.org/wiki/Chota_Imambara,Point(80.915833 26.860556),3.115,26.860556,80.915833,12,http://www.wikidata.org/entity/Q141140,Chhota Imambara,husayniyya
http://www.wikidata.org/entity/Q580988,,"https://en.wikipedia.org/wiki/Amethi,_Lucknow",Point(81.15 26.76),23.074,26.76,81.15,11,http://www.wikidata.org/entity/Q486972,Amethi,human settlement
http://www.wikidata.org/entity/Q3634604,,https://en.wikipedia.org/wiki/United_Provinces_(1937%E2%80%931950),Point(80.947 26.847),1.579,26.847,80.947,11,http://www.wikidata.org/entity/Q15646712,United Provinces,province of British India
http://www.wikidata.org/entity/Q7379279,,https://en.wikipedia.org/wiki/Rumi_Darwaza,Point(80.912222222 26.871111111),4.29,26.871111111111,80.912222222222,11,http://www.wikidata.org/entity/Q53060,Rumi Darwaza,gate
http://www.wikidata.org/entity/Q5123309,https://de.wikipedia.org/wiki/City_Montessori_School,https://en.wikipedia.org/wiki/City_Montessori_School,Point(80.8942 26.7896),6.72,26.7896,80.8942,11,http://www.wikidata.org/entity/Q3914,City Montessori School,school
http://www.wikidata.org/entity/Q46023,,https://en.wikipedia.org/wiki/Indian_Institute_of_Management_Lucknow,Point(80.899372222 26.937375),11.578,26.937375,80.899372222222,11,http://www.wikidata.org/entity/Q3918,Indian Institute of Management Lucknow,university
http://www.wikidata.org/entity/Q4120108,https://de.wikipedia.org/wiki/Nadwat_al-%CA%BFUlam%C4%81%CA%BE,https://en.wikipedia.org/wiki/Darul_Uloom_Nadwatul_Ulama,Point(80.932514 26.865123),3.012,26.865123,80.932514,10,http://www.wikidata.org/entity/Q4671277,Darul-uloom Nadwatul Ulama,academic institution
http://www.wikidata.org/entity/Q87822808,,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Uttar_Pradesh,Point(81.0 27.0),19.134,27.0,81.0,10,http://www.wikidata.org/entity/Q3241045,COVID-19 pandemic in Uttar Pradesh,disease outbreak
