location,distance,item,lat,lon,sitelinks,itemLabel,placeLabel
Point(18.653497222 54.349841666),0.98,http://www.wikidata.org/entity/Q2065090,54.349841666667,18.653497222222,53,Paweł Adamowicz,St. Mary's Basilica in Gdańsk
Point(18.653497222 54.349841666),0.98,http://www.wikidata.org/entity/Q60946,54.349841666667,18.653497222222,35,Martin Opitz,St. Mary's Basilica in Gdańsk
Point(18.6540233 54.3482907),1.155,http://www.wikidata.org/entity/Q466779,54.3482907,18.6540233,28,Elisabeth Hevelius,Gdańsk
Point(18.6540233 54.3482907),1.155,http://www.wikidata.org/entity/Q466779,54.35,18.666666666667,28,Elisabeth Hevelius,Gdańsk
Point(18.5811 54.3738),4.917,http://www.wikidata.org/entity/Q240109,54.3738,18.5811,25,Anna Walentynowicz,Srebrzysko Cemetery
Point(18.636931699 54.358279639),1.003,http://www.wikidata.org/entity/Q45379,54.358888888889,18.638611111111,24,Danuta Siedzikówna,Garnizonowy Cemetery in Gdańsk
Point(18.638611111 54.358888888),0.894,http://www.wikidata.org/entity/Q45379,54.358888888889,18.638611111111,24,Danuta Siedzikówna,Garnizonowy Cemetery in Gdańsk
Point(18.636931699 54.358279639),1.003,http://www.wikidata.org/entity/Q45379,54.358279639034,18.636931699836,24,Danuta Siedzikówna,Garnizonowy Cemetery in Gdańsk
Point(18.638611111 54.358888888),0.894,http://www.wikidata.org/entity/Q45379,54.358279639034,18.636931699836,24,Danuta Siedzikówna,Garnizonowy Cemetery in Gdańsk
Point(18.5158 54.5094),18.949,http://www.wikidata.org/entity/Q981877,54.5094,18.5158,23,Janusz Kupcewicz,Witomino Cemetery in Gdynia
Point(18.5969 54.3411),4.091,http://www.wikidata.org/entity/Q724641,54.3411,18.5969,19,Kazimierz Zimny,Łostowicki Cemetery
Point(18.5811 54.3738),4.917,http://www.wikidata.org/entity/Q928556,54.3738,18.5811,19,Paweł Huelle,Srebrzysko Cemetery
Point(18.5811 54.3738),4.917,http://www.wikidata.org/entity/Q6439809,54.3738,18.5811,17,Krystyna Chojnowska-Liskiewicz,Srebrzysko Cemetery
Point(18.653497222 54.349841666),0.98,http://www.wikidata.org/entity/Q245618,54.349841666667,18.653497222222,17,Maciej Płażyński,St. Mary's Basilica in Gdańsk
Point(18.551896871 54.546328874),21.857,http://www.wikidata.org/entity/Q455617,54.546328874466,18.551896871451,17,Anna Przybylska,Parish cemetery in Gdynia Oksywie
Point(18.551896871 54.546328874),21.857,http://www.wikidata.org/entity/Q455617,54.54628,18.55153,17,Anna Przybylska,Parish cemetery in Gdynia Oksywie
Point(18.6540233 54.3482907),1.155,http://www.wikidata.org/entity/Q2037894,54.3482907,18.6540233,16,Aleksy Antkiewicz,Gdańsk
Point(18.6540233 54.3482907),1.155,http://www.wikidata.org/entity/Q2037894,54.35,18.666666666667,16,Aleksy Antkiewicz,Gdańsk
Point(18.636832777 54.3402775),2.277,http://www.wikidata.org/entity/Q2037894,54.3402775,18.636832777778,16,Aleksy Antkiewicz,Q118297278
Point(18.549294 54.450511),12.202,http://www.wikidata.org/entity/Q1665644,54.450511,18.549294,16,Ryszard Ronczewski,Roman Catholic cemetery in Sopot
Point(18.549294 54.450511),12.202,http://www.wikidata.org/entity/Q1665644,54.450277777778,18.5475,16,Ryszard Ronczewski,Roman Catholic cemetery in Sopot
Point(18.558888888 54.410555555),8.366,http://www.wikidata.org/entity/Q696750,54.410555555556,18.558888888889,15,"Swietopelk II, Duke of Pomerania",Oliwa
Point(18.19735 54.33424),29.617,http://www.wikidata.org/entity/Q285259,54.33424,18.19735,15,Aleksander Majkowski,Kartuzy
Point(18.546629234 54.451857075),12.422,http://www.wikidata.org/entity/Q514967,54.45194,18.54653,14,Andrzej Grubba,"Municipal Cemetery in Sopot, Poland"
Point(18.546629234 54.451857075),12.422,http://www.wikidata.org/entity/Q514967,54.451857075701,18.546629234125,14,Andrzej Grubba,"Municipal Cemetery in Sopot, Poland"
Point(18.6540233 54.3482907),1.155,http://www.wikidata.org/entity/Q64121,54.3482907,18.6540233,13,Nathanael Matthaeus von Wolf,Gdańsk
