,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,thing,articleEN,to_drop_key
371,https://www.atlasobscura.com/places/bird-hall-of-bamberg-natural-history-museum,49.894484,10.887971,"
Bird Hall of Bamberg Natural History Museum
","
A beautiful collection of taxidermy birds and rare pomological wax models.
",atlas_obscura,gold,,,,,,,,,,,,,"(49.894484, 10.887971)"
4,,0.0,0.0,,Forchheim - former imperial residence with charming old town,wikivoyage,red,,,Go next,"(0, 0)",,,,,,,,,"(0.0, 0.0)"
9,,49.89745,10.87741,Welcome Kongresshotel Bamberg ,Four-star hotel.,wikivoyage,red,Mußstraße 7 ,https://www.welcome-hotels.com/hotels/bamberg-kongresshotel/ ,Sleep_Splurge,"(49.89745, 10.87741)",,,,,,,,,"(49.89745, 10.87741)"
8,,49.89527,10.87916,Welcome Hotel Residenzschloss Bamberg ,Four-star hotel.,wikivoyage,red,Untere Sandstraße 32 ,https://www.welcome-hotels.com/hotels/residenzschloss-bamberg/ ,Sleep_Splurge,"(49.89527, 10.87916)",,,,,,,,,"(49.89527, 10.87916)"
7,,49.8939,10.88163,Tandem Hotel ,,wikivoyage,red,Untere Sandstraße 20 ,https://tandem-hotel.de/ ,Sleep_Splurge,"(49.8939, 10.88163)",,,,,,,,,"(49.8939, 10.88163)"
6,,49.89622,10.89388,Best Western Hotel Bamberg ,Three-star hotel.,wikivoyage,red,Luitpoldstraße 7 , ,Sleep_Splurge,"(49.89622, 10.89388)",,,,,,,,,"(49.89622, 10.89388)"
5,,49.89133,10.89203,Bamberger Hof Bellevue ,Four-star hotel.,wikivoyage,red,Schönleinsplatz 4 ,https://bambergerhof.de/en/ ,Sleep_Splurge,"(49.89133, 10.89203)",,,,,,,,,"(49.89133, 10.89203)"
4,,49.8921,10.89189,Romantik Hotel Weinhaus Messerschmitt ,,wikivoyage,red,Lange Straße 41 ,https://hotel-messerschmitt.de/ ,Sleep_Splurge,"(49.8921, 10.89189)",,,,,,,,,"(49.8921, 10.89189)"
3,,49.89201,10.88458,Palais Schrottenberg ,,wikivoyage,red,Kasernstraße 1 ,https://palais-schrottenberg.de/index.php/en/ ,Sleep_Splurge,"(49.89201, 10.88458)",,,,,,,,,"(49.89201, 10.88458)"
2,,49.88893,10.88681,Hotel-Restaurant St. Nepomuk ,,wikivoyage,red,Obere Mühlbrücke 9 ,https://www.hotel-nepomuk.de/en/ ,Sleep_Splurge,"(49.88893, 10.88681)",,,,,,,,,"(49.88893, 10.88681)"
1,,49.88972,10.88945,Villa Geyerswörth Hotel ,Five-star hotel.,wikivoyage,red,Geyerswörthstraße 15 ,https://villageyerswoerth.de/ ,Sleep_Splurge,"(49.88972, 10.88945)",,,,,,,,,"(49.88972, 10.88945)"
0,,49.8973,10.8911,Hotel Europa ,,wikivoyage,red,Untere Königstraße 8 ,http://www.hotel-europa-bamberg.de/ ,Sleep_Splurge,"(49.8973, 10.8911)",,,,,,,,,"(49.8973, 10.8911)"
0,,49.8927079,10.8827991,Sandschlössla,two apartments in a traditional city house,wikivoyage,red,Obere Sandstraße 31,http://www.sandschloessla.de/,Sleep_Mid-range_Apartments,"(49.8927079, 10.8827991)",,,,,,,,,"(49.8927079, 10.8827991)"
