,itemLabel,lat,lon,address,url,thingLabel,description,fetched_coordinates,tier,color
0,--,23.2584857,77.401989,,,Understand,,"(23.2584857, 77.401989)",wikivoyage,red
0,Raja Bhoj Airport ,23.2875,77.3375, ,https://www.aai.aero/en/airports/bhopal ,Get in,"Raja Bhoj Airport's terminal comprises separate sections for domestic and international flights. Separate entry and exit points have been made for national and international flights. A 1,500-capacity car park is outside the airport. [http://airindia.in/ Air India] links Bhopal with [[New Delhi]], [[Ahmedabad]], [[Hyderabad]], [[Indore]], [[Chennai]], [[Kolkata]] and [[Mumbai]]. SpiceJet Airlines, IndiGo Airlines and Air India are providing their servises from this airport..","(23.2875, 77.3375)",wikivoyage,red
0,Raja Bhoj Airport ,23.2875,77.3375, ,https://www.aai.aero/en/airports/bhopal ,Get in_By plane,"Raja Bhoj Airport's terminal comprises separate sections for domestic and international flights. Separate entry and exit points have been made for national and international flights. A 1,500-capacity car park is outside the airport. [http://airindia.in/ Air India] links Bhopal with [[New Delhi]], [[Ahmedabad]], [[Hyderabad]], [[Indore]], [[Chennai]], [[Kolkata]] and [[Mumbai]]. SpiceJet Airlines, IndiGo Airlines and Air India are providing their servises from this airport..","(23.2875, 77.3375)",wikivoyage,red
0,--,23.2584857,77.401989,,,Get in_By train,,"(23.2584857, 77.401989)",wikivoyage,red
0,--,23.2584857,77.401989,,,Get in_By car,,"(23.2584857, 77.401989)",wikivoyage,red
0,--,23.2584857,77.401989,,,Get around,,"(23.2584857, 77.401989)",wikivoyage,red
0,--,23.2584857,77.401989,,,Get around_By car,,"(23.2584857, 77.401989)",wikivoyage,red
0,Idgah,23.2656639,77.385696,,,See,,"(23.2656639, 77.385696)",wikivoyage,red
1,Jama Masjid,23.2586788,77.40202315265574,,,See,,"(23.2586788, 77.40202315265574)",wikivoyage,red
2,Moti Masjid,23.25561735,77.3994280516371,,,See,,"(23.25561735, 77.3994280516371)",wikivoyage,red
3,Taj-ul-Masajid,23.26299,77.39291,,,See,One of the largest mosques in the country.,"(23.26299, 77.39291)",wikivoyage,red
