,itemLabel,lat,lon,address,url,thingLabel,description,fetched_coordinates,tier,color
0,Bonn Information ,50.73447,7.09805,"Windeckstraße 1, 53111 Bonn ",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php ,Understand,The tourist information offers almost all the help a tourist could need. They also have brochures about walking tours in English. You can also buy tickets for the theater and the opera there.,"(50.73447, 7.09805)",wikivoyage,red
0,Bonn Information ,50.73447,7.09805,"Windeckstraße 1, 53111 Bonn ",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php ,Understand_Tourist information,The tourist information offers almost all the help a tourist could need. They also have brochures about walking tours in English. You can also buy tickets for the theater and the opera there.,"(50.73447, 7.09805)",wikivoyage,red
0,Bonn Central Station ,50.731944,7.096944,Am Hauptbahnhof 1 ,https://www.bahnhof.de/bahnhof-de/bahnhof/Bonn-Hbf-1020624 ,Get in,"Despite the name, meaning Bonn central station, it is served by many local and regional trains as well as a few long-distance trains, and also acts as the hub for Bonn's light rail system (''Stadtbahn''). You can arrive there from [[Cologne]] as well as [[Frankfurt]] and [[Koblenz]] via the slower (and slightly longer), scenic route.","(50.731944, 7.096944)",wikivoyage,red
1,Siegburg/Bonn (ICE-station) ,50.7938,7.2025, ,https://www.bahnhof.de/bahnhof-de/bahnhof/Siegburg-2FBonn-1038514 ,Get in,"The station in the neighbouring town of Siegburg on the right hand side of the Rhine is where most high-speed trains (''ICE'') stop, instead of Bonn Hauptbahnhof. You can get there from Bonn's city centre in 25 minutes by using tram 66.","(50.7938, 7.2025)",wikivoyage,red
2,Bonn-Beuel ,50.7384,7.12742, ,https://www.bahnhof.de/bahnhof-de/bahnhof/Bonn-Beuel-1020632 ,Get in,only Regional trains RB27 and RE8.,"(50.7384, 7.12742)",wikivoyage,red
0,Bonn Central Station ,50.731944,7.096944,Am Hauptbahnhof 1 ,https://www.bahnhof.de/bahnhof-de/bahnhof/Bonn-Hbf-1020624 ,Get in_By train,"Despite the name, meaning Bonn central station, it is served by many local and regional trains as well as a few long-distance trains, and also acts as the hub for Bonn's light rail system (''Stadtbahn''). You can arrive there from [[Cologne]] as well as [[Frankfurt]] and [[Koblenz]] via the slower (and slightly longer), scenic route.","(50.731944, 7.096944)",wikivoyage,red
1,Siegburg/Bonn (ICE-station) ,50.7938,7.2025, ,https://www.bahnhof.de/bahnhof-de/bahnhof/Siegburg-2FBonn-1038514 ,Get in_By train,"The station in the neighbouring town of Siegburg on the right hand side of the Rhine is where most high-speed trains (''ICE'') stop, instead of Bonn Hauptbahnhof. You can get there from Bonn's city centre in 25 minutes by using tram 66.","(50.7938, 7.2025)",wikivoyage,red
2,Bonn-Beuel ,50.7384,7.12742, ,https://www.bahnhof.de/bahnhof-de/bahnhof/Bonn-Beuel-1020632 ,Get in_By train,only Regional trains RB27 and RE8.,"(50.7384, 7.12742)",wikivoyage,red
0,Radstation ,50.73134,7.09805, ,https://www.radstationbonn.de/ ,Get around,Also offers tandem and e-bike rentals.,"(50.73134, 7.09805)",wikivoyage,red
0,Radstation ,50.73134,7.09805, ,https://www.radstationbonn.de/ ,Get around_By bike,Also offers tandem and e-bike rentals.,"(50.73134, 7.09805)",wikivoyage,red
0,Old Town Hall ,50.73501,7.10292,Markt ,https://altes-rathaus-bonn.de/ ,See,Built in 1737 in Rococo style. Not open to visitors.,"(50.73501, 7.10292)",wikivoyage,red
0,Bonner Münster ,50.73348,7.09969,Gerhard-von-Are Straße 5 ,http://www.bonner-muenster.de/ ,See,"A beautiful basilica, in Bonn's city centre. Only Bonn Information or the Bonner Münster Foundation are permitted to arrange guided tours to the basilica. The ""Bonn Information"" organization can arrange for non-German tours.","(50.73348, 7.09969)",wikivoyage,red
