,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,thing,articleEN,to_drop_key
130,https://www.atlasobscura.com/places/bonn-cherry-blossoms,50.739197,7.096115,"
Bonn Cherry Blossoms
","
Thousands of flowers create enchanting pink tunnels over the city streets.
",atlas_obscura,gold,,,,,,,,,,,,,"(50.739197, 7.096115)"
184,https://www.atlasobscura.com/places/nibelungenhalle,50.670399,7.204191,"
Nibelungenhalle 
","
This temple to the sturm and drang of Richard Wagner contains a dragon's cave and reptile zoo full of living ""dragons.""
",atlas_obscura,gold,,,,,,,,,,,,,"(50.670399, 7.204191)"
318,https://www.atlasobscura.com/places/burg-drachenfels,50.665236,7.210165,"
Burg Drachenfels
","
A ruined castle stands atop a hill surrounded by dragon lore.
",atlas_obscura,gold,,,,,,,,,,,,,"(50.665236, 7.210165)"
4,,0.0,0.0,--,,wikivoyage,red,,,Go next,"(0, 0)",,,,,,,,,"(0.0, 0.0)"
3,,50.6922459,6.6472694,Zülpich,Zülpich — an old Roman settlement with a newly opened museum centered on Roman baths and bathing culture. It is also a gateway to the Eifel region.,wikivoyage,red,,,Go next,"(50.6922459, 6.6472694)",,,,,,,,,"(50.6922459, 6.6472694)"
2,,47.6659868,9.1771567,Rheinsteig,Rheinsteig,wikivoyage,red,,,Go next,"(47.6659868, 9.1771567)",,,,,,,,,"(47.6659868, 9.1771567)"
1,,50.6739719,7.1930989,Königswinter,"Königswinter — home to Drachenfels (1010&nbsp;ft), crowned by the ruins of a castle built early in the 12th century by the archbishop of Cologne, rises behind the town. From the summit, which can be accessed by the Drachenfels Railway, there is a magnificent view, celebrated by Lord Byron in ''Childe Harold's Pilgrimage''. A cave in the hill is said to have sheltered the dragon which was slain by the hero Siegfried. Take tram line 66 until Königswinter.",wikivoyage,red,,,Go next,"(50.6739719, 7.1930989)",,,,,,,,,"(50.6739719, 7.1930989)"
0,,43.7218277,0.9774958,Cologne,Cologne — 20-25 min by train. Get out at Köln Süd for partying at Zülpicher Straße or at Köln Hauptbahnhof for sightseeing and the city centre.,wikivoyage,red,,,Go next,"(43.7218277, 0.9774958)",,,,,,,,,"(43.7218277, 0.9774958)"
0,,50.750512799999996,7.101173672572086,Romania ,,wikivoyage,red,Legionsweg 14 ,http://bonn.mae.ro/en ,Cope_Consulates,"(50.750512799999996, 7.101173672572086)",,,,,,,,,"(50.750512799999996, 7.101173672572086)"
0,,50.73456,7.09878,Deutsche Post - main post office ,,wikivoyage,red,Münsterplatz 17 ,http://www.deutschepost.de ,Connect,"(50.73456, 7.09878)",,,,,,,,,"(50.73456, 7.09878)"
6,,50.71932,7.12246,Bonn Marriott World Conference Hotel ,"Opened in 2016, it has a 17th-floor panoramic bar and restaurant.",wikivoyage,red,Platz der Vereinten Nationen 4 ,https://www.marriott.com/en-us/hotels/cgnbo-bonn-marriott-hotel/overview/ ,Sleep_Splurge,"(50.71932, 7.12246)",,,,,,,,,"(50.71932, 7.12246)"
5,,50.72288,7.113,Living Hotel Kanzler ,,wikivoyage,red,Adenauerallee 148 ,https://www.living-hotels.com/hotel-kanzler-bonn/ ,Sleep_Splurge,"(50.72288, 7.113)",,,,,,,,,"(50.72288, 7.113)"
4,,50.73359,7.10813,AMERON Hotel Königshof ,Close to the city centre and beside the Rhine river.,wikivoyage,red,Adenauerallee 9 ,https://www.ameroncollection.com/de/bonn-hotel-koenigshof ,Sleep_Splurge,"(50.73359, 7.10813)",,,,,,,,,"(50.73359, 7.10813)"
3,,50.70485,7.13484,Maritim Bonn ,10 minutes from city centre by taxi.,wikivoyage,red,Kurt-Georg-Kiesinger Allee 1 ,https://www.maritim.de/de/hotels/deutschland/hotel-bonn/unser-hotel ,Sleep_Splurge,"(50.70485, 7.13484)",,,,,,,,,"(50.70485, 7.13484)"
