,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color
0,http://www.wikidata.org/entity/Q43433,https://de.wikipedia.org/wiki/Chandigarh,https://en.wikipedia.org/wiki/Chandigarh,Point(76.791111111 30.735277777),1.108,30.735277777778,76.791111111111,114,http://www.wikidata.org/entity/Q1074523,Chandigarh,planned community,S,orange
18,http://www.wikidata.org/entity/Q1949069,https://de.wikipedia.org/wiki/Sahibzada_Ajit_Singh_Nagar,https://en.wikipedia.org/wiki/Mohali,Point(76.718055555 30.719444444),6.095,30.719444444444,76.718055555556,42,http://www.wikidata.org/entity/Q1549591,Mohali,big city,S,orange
20,http://www.wikidata.org/entity/Q882172,https://de.wikipedia.org/wiki/Panchkula,https://en.wikipedia.org/wiki/Panchkula,Point(76.850277777 30.694444444),8.019,30.694444444444,76.850277777778,38,http://www.wikidata.org/entity/Q1074523,Panchkula,planned community,S,orange
22,http://www.wikidata.org/entity/Q1835533,https://de.wikipedia.org/wiki/Flughafen_Chandigarh,https://en.wikipedia.org/wiki/Chandigarh_Airport,Point(76.788611111 30.673333333),6.737,30.673333333333,76.788611111111,25,http://www.wikidata.org/entity/Q644371,Shaheed Bhagat Singh International Airport,international airport,S,orange
25,http://www.wikidata.org/entity/Q2722011,https://de.wikipedia.org/wiki/Kharar,"https://en.wikipedia.org/wiki/Kharar,_SAS_Nagar",Point(76.65 30.74),12.418,30.746388888889,76.646944444444,22,http://www.wikidata.org/entity/Q486972,Kharar,human settlement,S,orange
29,http://www.wikidata.org/entity/Q2557889,,https://en.wikipedia.org/wiki/Pinjore,Point(76.9172 30.7972),14.927,30.798611111111,76.918333333333,21,http://www.wikidata.org/entity/Q486972,Pinjore,human settlement,S,orange
31,http://www.wikidata.org/entity/Q2317411,https://de.wikipedia.org/wiki/Zirakpur,https://en.wikipedia.org/wiki/Zirakpur,Point(76.82 30.65),10.046,30.65,76.82,21,http://www.wikidata.org/entity/Q691960,Zirakpur,satellite city,S,orange
33,http://www.wikidata.org/entity/Q25931399,https://de.wikipedia.org/wiki/Kapitol-Komplex_in_Chandigarh,https://en.wikipedia.org/wiki/Chandigarh_Capitol_Complex,Point(76.804722222 30.759166666),3.727,30.759166666667,76.804722222222,21,http://www.wikidata.org/entity/Q1497375,Chandigarh Capitol Complex,architectural ensemble,S,orange
34,http://www.wikidata.org/entity/Q3041915,,https://en.wikipedia.org/wiki/Rock_Garden_of_Chandigarh,Point(76.807 30.752),3.325,30.752,76.807,18,http://www.wikidata.org/entity/Q1759852,Rock Garden of Chandigarh,sculpture garden,A,green
35,http://www.wikidata.org/entity/Q16854086,,https://en.wikipedia.org/wiki/Open_Hand_Monument,Point(76.8074 30.759),3.883,30.759,76.8074,18,http://www.wikidata.org/entity/Q4989906,Open Hand Monument,monument,A,green
36,http://www.wikidata.org/entity/Q567899,https://de.wikipedia.org/wiki/Panjab_University,https://en.wikipedia.org/wiki/Panjab_University,Point(76.768208888 30.757995),2.943,30.757995,76.768208888889,17,http://www.wikidata.org/entity/Q875538,Panjab University,public university,A,green
37,http://www.wikidata.org/entity/Q2444426,,https://en.wikipedia.org/wiki/Bhabat,Point(76.8076 30.6581),8.791,30.6581,76.8076,14,http://www.wikidata.org/entity/Q486972,Bhabat,human settlement,A,green
38,http://www.wikidata.org/entity/Q130502,https://de.wikipedia.org/wiki/Punjab_and_Haryana_High_Court,https://en.wikipedia.org/wiki/Punjab_and_Haryana_High_Court,Point(76.8066 30.7573),3.693,30.7573,76.8066,14,http://www.wikidata.org/entity/Q4959031,Punjab and Haryana High Court,appellate court,A,green
39,http://www.wikidata.org/entity/Q2725729,,https://en.wikipedia.org/wiki/Mullanpur_Garibdass,Point(76.743 30.799),8.089,30.799,76.743,13,http://www.wikidata.org/entity/Q486972,Mullanpur Garibdass,human settlement,A,green
40,http://www.wikidata.org/entity/Q7333197,,https://en.wikipedia.org/wiki/Sukhna_Lake,Point(76.8189423 30.7402883),3.826,30.7402883,76.8189423,13,http://www.wikidata.org/entity/Q131681,Sukhna Lake,reservoir,A,green
41,http://www.wikidata.org/entity/Q2311239,,https://en.wikipedia.org/wiki/Karoran,Point(76.8204 30.8053),8.885,30.8053,76.8204,12,http://www.wikidata.org/entity/Q486972,Karoran,human settlement,A,green
42,http://www.wikidata.org/entity/Q3112812,,"https://en.wikipedia.org/wiki/Government_Museum_and_Art_Gallery,_Chandigarh",Point(76.787425 30.748875),1.868,30.748875,76.787425,12,http://www.wikidata.org/entity/Q207694,"Government Museum and Art Gallery, Chandigarh",art museum,A,green
44,http://www.wikidata.org/entity/Q3522142,https://de.wikipedia.org/wiki/Punjab_Cricket_Association_IS_Bindra_Stadium,https://en.wikipedia.org/wiki/Inderjit_Singh_Bindra_Stadium,Point(76.737258333 30.690858333),6.236,30.690858333333,76.737258333333,12,http://www.wikidata.org/entity/Q682943,Inderjit Singh Bindra Stadium,cricket field,A,green
45,http://www.wikidata.org/entity/Q5520689,,"https://en.wikipedia.org/wiki/Gandhi_Bhawan,_Chandigarh",Point(76.771410495 30.761872651),3.259,30.761872651759,76.771410495592,11,http://www.wikidata.org/entity/Q230752,Gandhi Bhawan,auditorium,A,green
46,http://www.wikidata.org/entity/Q5071065,,https://en.wikipedia.org/wiki/Chandigarh_Group_of_Colleges,Point(76.664638888 30.686416666),12.18,30.686416666667,76.664638888889,10,http://www.wikidata.org/entity/Q1663017,"Chandigarh Group of Colleges, Landran",engineering college,A,green
47,http://www.wikidata.org/entity/Q7444209,,"https://en.wikipedia.org/wiki/Secretariat_Building,_Chandigarh",Point(76.800555555 30.761111111),3.665,30.761111111111,76.800555555556,10,http://www.wikidata.org/entity/Q811979,Secretariat Building,architectural structure,A,green
49,http://www.wikidata.org/entity/Q8065112,,https://en.wikipedia.org/wiki/Zakir_Hussain_Rose_Garden,Point(76.783739 30.748108),1.675,30.748108,76.783739,10,http://www.wikidata.org/entity/Q291177,Zakir Hussain Rose Garden,rose garden,A,green
50,http://www.wikidata.org/entity/Q3763822,,https://en.wikipedia.org/wiki/Yadavindra_Gardens,Point(76.91222222 30.7925),14.262,30.7925,76.91222222,9,http://www.wikidata.org/entity/Q1107656,Yadavindra Gardens,garden,B,violet
51,http://www.wikidata.org/entity/Q7126217,,https://en.wikipedia.org/wiki/Palace_of_Assembly,Point(76.803055555 30.761111111),3.8,30.761111111111,76.803055555556,9,http://www.wikidata.org/entity/Q41176,Palace of Assembly,building,B,violet
