,ao_link,lat,lon,itemLabel,description,tier,color
66,https://www.atlasobscura.com/places/international-church-of-cannabis,39.709144,-104.982318,International Church of Cannabis,A technicolor place of worship for Elevationists.,atlas_obscura,gold
102,https://www.atlasobscura.com/places/fifty-two-80s,39.68265,-104.987498,Fifty-Two 80's,This modern antique shop is a museum for 1980's Saturday morning cartoon culture.,atlas_obscura,gold
134,https://www.atlasobscura.com/places/casa-bonita-lakewood-colorado,39.741946,-105.070906,Casa Bonita,"At this Denver landmark, the meals are compulsory, the sopapillas are complimentary, and the insanity is everywhere.",atlas_obscura,gold
154,https://www.atlasobscura.com/places/linger-eatuaries,39.759456,-105.011358,,,atlas_obscura,gold
617,https://www.atlasobscura.com/places/unsinkable-molly-brown-house,39.737503,-104.980755,,,atlas_obscura,gold
735,https://www.atlasobscura.com/places/buckhorn-exchange,39.732379,-105.004941,Buckhorn Exchange,Wall to wall taxidermy at Denver's oldest and most exotic steakhouse.,atlas_obscura,gold
827,https://www.atlasobscura.com/places/denver-s-dinosaur-hotel,39.654455,-105.079498,,,atlas_obscura,gold
936,https://www.atlasobscura.com/places/national-ice-core-lab,39.722412,-105.123884,,,atlas_obscura,gold
1029,https://www.atlasobscura.com/places/denver-zine-library,39.771054,-104.980201,Denver Zine Library,"A collection of over 15,000 zines works to preserve DIY publishing culture.",atlas_obscura,gold
1062,https://www.atlasobscura.com/places/mile-high-comics-megastore,39.7803,-104.999143,Mile High Comics Megastore,"While comics are the main attraction at this megastore, the second floor plays host to an exhibit fit for a museum.",atlas_obscura,gold
1075,https://www.atlasobscura.com/places/hidden-elves-at-the-denver-museum-of-nature-and-science,39.747526,-104.942808,Hidden Elves at the Denver Museum of Nature and Science,A small horde of mythical creatures lurk almost imperceptibly within the museum's wildlife dioramas.,atlas_obscura,gold
1244,https://www.atlasobscura.com/places/history-colorado-center,39.735847,-104.986731,,,atlas_obscura,gold
1277,https://www.atlasobscura.com/places/cheesman-park,39.732062,-104.966631,,,atlas_obscura,gold
1305,https://www.atlasobscura.com/places/mile-high-steps-at-the-colorado-state-capitol,39.739233,-104.984805,,,atlas_obscura,gold
1572,https://www.atlasobscura.com/places/american-museum-of-western-art,39.744742,-104.988094,American Museum of Western Art,The huge collection of paintings of the American West is one of Denver's best-kept secrets.,atlas_obscura,gold
