,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,item,articleDE,location,distance,sitelinks,thing,articleEN,to_drop_key
204,https://www.atlasobscura.com/places/gehry-buildings-dusseldorf-harbor,51.216605,6.760193,"
The Gehry Buildings of Dusseldorf Harbor
","
Twisted buildings adorn the banks of the Rhine river.
",atlas_obscura,gold,,,,,,,,,,,,"(51.216605, 6.760193)"
332,https://www.atlasobscura.com/places/c-und-o-vogt-institue-brain-research-collection,51.193819,6.792072,"
C. und O. Vogt Institue of Brain Research Collection
","
A varied collection of brains in alcohol.
",atlas_obscura,gold,,,,,,,,,,,,"(51.193819, 6.792072)"
353,https://www.atlasobscura.com/places/museumsinsel-hombroich,51.147773,6.659504,"
Museumsinsel Hombroich
","
Be it nature, art, or abandoned military architecture this eclectic German ""museum"" has you covered.
",atlas_obscura,gold,,,,,,,,,,,,"(51.147773, 6.659504)"
358,https://www.atlasobscura.com/places/rheinturm,51.217942,6.76168,"
Rheinturm
","
This futuristic German television spire is actually the world's largest digital clock.
",atlas_obscura,gold,,,,,,,,,,,,"(51.217942, 6.76168)"
5,,51.984257,5.9108573,Arnhem,Arnhem,wikivoyage,red,,,Go next_International,"(51.984257, 5.9108573)",,,,,,,,"(51.984257, 5.9108573)"
4,,51.2211097,4.3997081,Antwerp,Antwerp,wikivoyage,red,,,Go next_International,"(51.2211097, 4.3997081)",,,,,,,,"(51.2211097, 4.3997081)"
3,,51.4392648,5.478633,Eindhoven,Eindhoven,wikivoyage,red,,,Go next_International,"(51.4392648, 5.478633)",,,,,,,,"(51.4392648, 5.478633)"
2,,50.8465573,4.351697,Brussels,Brussels,wikivoyage,red,,,Go next_International,"(50.8465573, 4.351697)",,,,,,,,"(50.8465573, 4.351697)"
1,,48.8588897,2.3200410217200766,Paris,Paris,wikivoyage,red,,,Go next_International,"(48.8588897, 2.3200410217200766)",,,,,,,,"(48.8588897, 2.3200410217200766)"
0,,52.3730796,4.8924534,Amsterdam,Amsterdam,wikivoyage,red,,,Go next_International,"(52.3730796, 4.8924534)",,,,,,,,"(52.3730796, 4.8924534)"
