,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,link,name,description,address,url
0,http://www.wikidata.org/entity/Q1792,https://de.wikipedia.org/wiki/Danzig,https://en.wikipedia.org/wiki/Gda%C5%84sk,Point(18.6540233 54.3482907),2.754,54.3482907,18.6540233,170.0,http://www.wikidata.org/entity/Q707813,Gdańsk,Hanseatic city,S,orange,,,,,
8,http://www.wikidata.org/entity/Q182385,https://de.wikipedia.org/wiki/Stadion_Gda%C5%84sk,https://en.wikipedia.org/wiki/Gda%C5%84sk_Stadium,Point(18.640278 54.39),1.99,54.39,18.640278,49.0,http://www.wikidata.org/entity/Q1154710,Stadion Energa Gdańsk,association football venue,S,orange,,,,,
9,http://www.wikidata.org/entity/Q533034,https://de.wikipedia.org/wiki/Kampf_um_die_Westerplatte,https://en.wikipedia.org/wiki/Battle_of_Westerplatte,Point(18.671388888 54.4075),4.1,54.4075,18.671388888889,36.0,http://www.wikidata.org/entity/Q178561,Battle of Westerplatte,battle,S,orange,,,,,
11,http://www.wikidata.org/entity/Q732001,https://de.wikipedia.org/wiki/Dreistadt,"https://en.wikipedia.org/wiki/Tricity,_Poland",Point(18.55 54.433333333),9.303,54.433333333333,18.55,35.0,http://www.wikidata.org/entity/Q245260,Tricity,conurbation,S,orange,,,,,
12,http://www.wikidata.org/entity/Q517081,https://de.wikipedia.org/wiki/Westerplatte,https://en.wikipedia.org/wiki/Westerplatte,Point(18.671388888 54.4075),4.1,54.4075,18.671388888889,33.0,http://www.wikidata.org/entity/Q34763,Westerplatte,peninsula,S,orange,,,,,
13,http://www.wikidata.org/entity/Q326188,https://de.wikipedia.org/wiki/Pommerellen,https://en.wikipedia.org/wiki/Pomerelia,Point(18.633 54.3667),1.269,54.3667,18.633,32.0,http://www.wikidata.org/entity/Q1620908,Pomerelia,historical region,S,orange,,,,,
14,http://www.wikidata.org/entity/Q1758009,https://de.wikipedia.org/wiki/Universit%C3%A4t_Danzig,https://en.wikipedia.org/wiki/University_of_Gda%C5%84sk,Point(18.568611111 54.399444444),6.007,54.399444444444,18.568611111111,29.0,http://www.wikidata.org/entity/Q45400320,University of Gdańsk,open-access publisher,S,orange,,,,,
16,http://www.wikidata.org/entity/Q933903,https://de.wikipedia.org/wiki/Marienkirche_(Danzig),"https://en.wikipedia.org/wiki/St._Mary%27s_Church,_Gda%C5%84sk",Point(18.653497222 54.349841666),2.579,54.349841666667,18.653497222222,27.0,http://www.wikidata.org/entity/Q16970,St. Mary's Basilica in Gdańsk,church building,S,orange,,,,,
17,http://www.wikidata.org/entity/Q465922,https://de.wikipedia.org/wiki/Technische_Universit%C3%A4t_Danzig,https://en.wikipedia.org/wiki/Gda%C5%84sk_University_of_Technology,Point(18.618888888 54.371388888),1.985,54.371388888889,18.618888888889,26.0,http://www.wikidata.org/entity/Q875538,Gdańsk University of Technology,public university,S,orange,,,,,
18,http://www.wikidata.org/entity/Q1736541,https://de.wikipedia.org/wiki/Werft_Danzig,https://en.wikipedia.org/wiki/Gda%C5%84sk_Shipyard,Point(18.655238 54.370563),0.458,54.370563,18.655238,25.0,http://www.wikidata.org/entity/Q190928,Gdańsk Shipyard,shipyard,S,orange,,,,,
20,http://www.wikidata.org/entity/Q1638749,https://de.wikipedia.org/wiki/Sopot_Festival,https://en.wikipedia.org/wiki/Sopot_International_Song_Festival,Point(18.6540233 54.3482907),2.754,54.3482907,18.6540233,24.0,http://www.wikidata.org/entity/Q868557,Sopot International Song Festival,music festival,S,orange,,,,,
21,http://www.wikidata.org/entity/Q1950176,https://de.wikipedia.org/wiki/Mot%C5%82awa,https://en.wikipedia.org/wiki/Mot%C5%82awa,Point(18.6588 54.3529),2.307,54.066944444444,18.705277777778,24.0,http://www.wikidata.org/entity/Q4022,Motława,river,S,orange,,,,,
27,http://www.wikidata.org/entity/Q959999,https://de.wikipedia.org/wiki/Krummes_H%C3%A4uschen,https://en.wikipedia.org/wiki/Krzywy_Domek,Point(18.566675 54.44415556),9.561,54.44415556,18.566675,23.0,http://www.wikidata.org/entity/Q41176,Krzywy Domek,building,S,orange,,,,,
28,http://www.wikidata.org/entity/Q1247814,https://de.wikipedia.org/wiki/Ergo_Arena,https://en.wikipedia.org/wiki/Ergo_Arena,Point(18.580278 54.425833),7.393,54.425833,18.580278,21.0,http://www.wikidata.org/entity/Q1763828,Ergo Arena,multi-purpose hall,S,orange,,,,,
29,http://www.wikidata.org/entity/Q1447540,https://de.wikipedia.org/wiki/Oliwa_(Danzig),https://en.wikipedia.org/wiki/Oliwa,Point(18.558888888 54.410555555),7.202,54.410555555556,18.558888888889,21.0,http://www.wikidata.org/entity/Q1434401,Oliwa,dzielnica,S,orange,,,,,
30,http://www.wikidata.org/entity/Q564388,https://de.wikipedia.org/wiki/Gefecht_um_das_polnische_Postamt_in_Danzig,https://en.wikipedia.org/wiki/Defence_of_the_Polish_Post_Office_in_Danzig,Point(18.65694444 54.355),2.051,54.355,18.65694444,20.0,http://www.wikidata.org/entity/Q178561,Defense of the Polish Post Office in Danzig,battle,S,orange,,,,,
31,http://www.wikidata.org/entity/Q11129717,https://de.wikipedia.org/wiki/Muzeum_II_Wojny_%C5%9Awiatowej,https://en.wikipedia.org/wiki/Museum_of_the_Second_World_War,Point(18.66055556 54.35583333),2.032,54.35583333,18.66055556,20.0,http://www.wikidata.org/entity/Q2772772,Museum of World War II in Gdańsk,military museum,S,orange,,,,,
32,http://www.wikidata.org/entity/Q2135657,https://de.wikipedia.org/wiki/Rechtst%C3%A4dtisches_Rathaus,https://en.wikipedia.org/wiki/Gda%C5%84sk_Town_Hall,Point(18.6527 54.34883),2.686,54.34883,18.6527,19.0,http://www.wikidata.org/entity/Q543654,Gdańsk Main Town Hall,Rathaus,A,green,,,,,
33,http://www.wikidata.org/entity/Q1236685,https://de.wikipedia.org/wiki/Dom_zu_Oliva,https://en.wikipedia.org/wiki/Oliwa_Cathedral,Point(18.557777777 54.411111111),7.296,54.411111111111,18.557777777778,19.0,http://www.wikidata.org/entity/Q2977,Oliwa Cathedral,cathedral,A,green,,,,,
34,http://www.wikidata.org/entity/Q2165775,https://de.wikipedia.org/wiki/Erzbistum_Danzig,https://en.wikipedia.org/wiki/Roman_Catholic_Archdiocese_of_Gda%C5%84sk,Point(18.5589 54.411),7.23,54.411,18.5589,18.0,http://www.wikidata.org/entity/Q105390172,Roman Catholic Archdiocese of Gdańsk,Roman Catholic metropolitan archdiocese,A,green,,,,,
35,http://www.wikidata.org/entity/Q901954,https://de.wikipedia.org/wiki/Belagerung_von_Danzig_(1807),https://en.wikipedia.org/wiki/Siege_of_Danzig_(1807),Point(18.633333333 54.366666666),1.253,54.3667,18.6333,17.0,http://www.wikidata.org/entity/Q188055,Siege of Danzig,siege,A,green,,,,,
40,http://www.wikidata.org/entity/Q764396,https://de.wikipedia.org/wiki/Pomnik_Poleg%C5%82ych_Stoczniowc%C3%B3w_1970,https://en.wikipedia.org/wiki/Monument_to_the_Fallen_Shipyard_Workers_of_1970,Point(18.6492 54.3605),1.381,54.3605,18.6492,15.0,http://www.wikidata.org/entity/Q321053,Monument to the Fallen Shipyard Workers of 1970,cenotaph,A,green,,,,,
41,http://www.wikidata.org/entity/Q4845346,https://de.wikipedia.org/wiki/Narodowe_Muzeum_Morskie,"https://en.wikipedia.org/wiki/National_Maritime_Museum,_Gda%C5%84sk",Point(18.659 54.351),2.515,54.351,18.659,15.0,http://www.wikidata.org/entity/Q1863818,National Maritime Museum in Gdańsk,maritime museum,A,green,,,,,
43,http://www.wikidata.org/entity/Q995277,https://de.wikipedia.org/wiki/Mokry_Dw%C3%B3r_(Pruszcz_Gda%C5%84ski),"https://en.wikipedia.org/wiki/Mokry_Dw%C3%B3r,_Pomeranian_Voivodeship",Point(18.69015 54.3034),8.168,54.3034,18.69015,15.0,http://www.wikidata.org/entity/Q3558970,"Mokry Dwór, Pomeranian Voivodeship",village of Poland,A,green,,,,,
47,http://www.wikidata.org/entity/Q2354105,https://de.wikipedia.org/wiki/Belagerung_von_Danzig_(1734),https://en.wikipedia.org/wiki/Siege_of_Danzig_(1734),Point(18.633333333 54.366666666),1.253,54.366666666667,18.633333333333,15.0,http://www.wikidata.org/entity/Q178561,Siege of Danzig,battle,A,green,,,,,
51,http://www.wikidata.org/entity/Q1761064,https://de.wikipedia.org/wiki/Radunia,https://en.wikipedia.org/wiki/Radunia,Point(18.686863 54.3131972),7.07,54.1825642,17.9419411,15.0,http://www.wikidata.org/entity/Q4022,Radunia,river,A,green,,,,,
53,http://www.wikidata.org/entity/Q1967790,https://de.wikipedia.org/wiki/Seeschlacht_von_Oliwa,https://en.wikipedia.org/wiki/Battle_of_Oliwa,Point(18.646638 54.352025),2.33,54.352025,18.646638,14.0,http://www.wikidata.org/entity/Q178561,Battle of Oliwa,battle,A,green,,,,,
54,http://www.wikidata.org/entity/Q534403,https://de.wikipedia.org/wiki/Europ%C3%A4isches_Zentrum_der_Solidarno%C5%9B%C4%87,https://en.wikipedia.org/wiki/European_Solidarity_Centre,Point(18.649421 54.361234),1.299,54.361234,18.649421,14.0,http://www.wikidata.org/entity/Q671735,European Solidarity Centre,media library,A,green,,,,,
58,http://www.wikidata.org/entity/Q606782,"https://de.wikipedia.org/wiki/U_10_(U-Boot,_1935)",https://en.wikipedia.org/wiki/German_submarine_U-10_(1935),Point(18.666666666 54.383333333),1.609,54.383333333333,18.666666666667,14.0,http://www.wikidata.org/entity/Q428661,U-10,U-boat,A,green,,,,,
59,http://www.wikidata.org/entity/Q618638,"https://de.wikipedia.org/wiki/U_11_(U-Boot,_1935)",https://en.wikipedia.org/wiki/German_submarine_U-11_(1935),Point(18.666666666 54.316666666),6.353,54.316666666667,18.666666666667,14.0,http://www.wikidata.org/entity/Q428661,U-11,U-boat,A,green,,,,,
60,http://www.wikidata.org/entity/Q805784,https://de.wikipedia.org/wiki/Baltische_Philharmonie_(Danzig),https://en.wikipedia.org/wiki/Polish_Baltic_Philharmonic,Point(18.659682778 54.352422954),2.374,54.352422954571,18.659682778134,14.0,http://www.wikidata.org/entity/Q294422,Polish Baltic Philharmonic,public building,A,green,,,,,
61,http://www.wikidata.org/entity/Q1567868,https://de.wikipedia.org/wiki/Hafen_von_Danzig,https://en.wikipedia.org/wiki/Port_of_Gda%C5%84sk,Point(18.665 54.383055555),1.513,54.383055555556,18.665,14.0,http://www.wikidata.org/entity/Q15310171,Port of Gdańsk,seaport,A,green,,,,,
62,http://www.wikidata.org/entity/Q253930,https://de.wikipedia.org/wiki/Krantor_(Danzig),,Point(18.65777778 54.35055556),2.544,54.35055556,18.65777778,13.0,http://www.wikidata.org/entity/Q178692,Żuraw in Gdańsk,crane,A,green,,,,,
63,http://www.wikidata.org/entity/Q1968661,https://de.wikipedia.org/wiki/Nationalmuseum_(Danzig),"https://en.wikipedia.org/wiki/National_Museum,_Gda%C5%84sk",Point(18.64691389 54.345425),3.061,54.345425,18.64691389,13.0,http://www.wikidata.org/entity/Q17431399,National Museum in Gdańsk,national museum,A,green,,,,,
64,http://www.wikidata.org/entity/Q2134229,https://de.wikipedia.org/wiki/Tote_Weichsel,https://en.wikipedia.org/wiki/Martwa_Wis%C5%82a,Point(18.6608 54.41),4.189,54.41,18.6608,13.0,http://www.wikidata.org/entity/Q4022,Martwa Wisła,river,A,green,,,,,
66,http://www.wikidata.org/entity/Q783294,https://de.wikipedia.org/wiki/Neptunbrunnen_(Danzig),"https://en.wikipedia.org/wiki/Neptune%27s_Fountain,_Gda%C5%84sk",Point(18.65338056 54.34856389),2.72,54.34856389,18.65338056,13.0,http://www.wikidata.org/entity/Q483453,Neptune's Fountain,fountain,A,green,,,,,
67,http://www.wikidata.org/entity/Q1426552,https://de.wikipedia.org/wiki/Langgasser_Tor,https://en.wikipedia.org/wiki/Golden_Gate_(Gda%C5%84sk),Point(18.64802 54.34967),2.586,54.34967,18.64802,13.0,http://www.wikidata.org/entity/Q811979,Golden Gate,architectural structure,A,green,,,,,
68,http://www.wikidata.org/entity/Q1450669,https://de.wikipedia.org/wiki/Gr%C3%BCnes_Tor_(Danzig),https://en.wikipedia.org/wiki/Green_Gate,Point(18.65562983 54.347924839),2.808,54.347924839971,18.65562983022,13.0,http://www.wikidata.org/entity/Q82117,Green Gate,city gate,A,green,,,,,
80,http://www.wikidata.org/entity/Q60614851,https://de.wikipedia.org/wiki/Attentat_auf_Pawe%C5%82_Adamowicz,https://en.wikipedia.org/wiki/Assassination_of_Pawe%C5%82_Adamowicz,Point(18.647222222 54.349166666),2.645,54.349166666667,18.647222222222,13.0,http://www.wikidata.org/entity/Q132821,assassination of Paweł Adamowicz,murder,A,green,,,,,
82,http://www.wikidata.org/entity/Q479323,https://de.wikipedia.org/wiki/Katharinenkirche_(Danzig),"https://en.wikipedia.org/wiki/St._Catherine%27s_Church,_Gda%C5%84sk",Point(18.65145278 54.35411389),2.095,54.35411389,18.65145278,12.0,http://www.wikidata.org/entity/Q1088552,St Catherine's Church,Catholic church building,A,green,,,,,
84,http://www.wikidata.org/entity/Q541765,https://de.wikipedia.org/wiki/Wrzeszcz,https://en.wikipedia.org/wiki/Wrzeszcz,Point(18.616666666 54.383333333),2.417,54.383333333333,18.616666666667,12.0,http://www.wikidata.org/entity/Q2983893,Wrzeszcz,quarter,A,green,,,,,
85,http://www.wikidata.org/entity/Q1409002,https://de.wikipedia.org/wiki/Festung_Weichselm%C3%BCnde,https://en.wikipedia.org/wiki/Wis%C5%82ouj%C5%9Bcie_Fortress,Point(18.679138888 54.395861111),3.195,54.395861111111,18.679138888889,12.0,http://www.wikidata.org/entity/Q39715,Wisłoujście Fortress,lighthouse,A,green,,,,,
89,http://www.wikidata.org/entity/Q3594194,https://de.wikipedia.org/wiki/%C5%9Ar%C3%B3dmie%C5%9Bcie_(Gda%C5%84sk),"https://en.wikipedia.org/wiki/%C5%9Ar%C3%B3dmie%C5%9Bcie,_Gda%C5%84sk",Point(18.6557 54.3517),2.394,54.3517,18.6557,12.0,http://www.wikidata.org/entity/Q1434401,Śródmieście,dzielnica,A,green,,,,,
90,http://www.wikidata.org/entity/Q2732849,,https://en.wikipedia.org/wiki/Hala_Olivia,Point(18.57212222 54.401325),5.919,54.401325,18.57212222,12.0,http://www.wikidata.org/entity/Q641226,Hala Olivia,arena,A,green,,,,,
91,http://www.wikidata.org/entity/Q679506,https://de.wikipedia.org/wiki/Langer_Markt,https://en.wikipedia.org/wiki/D%C5%82ugi_Targ,Point(18.65366667 54.3485),2.729,54.3485,18.65366667,11.0,http://www.wikidata.org/entity/Q174782,Long Market,square,A,green,,,,,
92,http://www.wikidata.org/entity/Q715753,https://de.wikipedia.org/wiki/Artushof_Danzig,https://en.wikipedia.org/wiki/Artus_Court,Point(18.65337 54.34877),2.697,54.348799650118,18.653366772969,11.0,http://www.wikidata.org/entity/Q16974307,Artus Court,dwór,A,green,,,,,
98,http://www.wikidata.org/entity/Q5529378,https://de.wikipedia.org/wiki/Medizinische_Universit%C3%A4t_Danzig,https://en.wikipedia.org/wiki/Medical_University_of_Gda%C5%84sk,Point(18.63055556 54.36611111),1.438,54.36611111,18.63055556,11.0,http://www.wikidata.org/entity/Q494230,Medical University of Gdańsk,medical school,A,green,,,,,
99,http://www.wikidata.org/entity/Q1837513,https://de.wikipedia.org/wiki/Nowy_Port_(Gda%C5%84sk),https://en.wikipedia.org/wiki/Nowy_Port,Point(18.6633 54.4015),3.303,54.4015,18.6633,11.0,http://www.wikidata.org/entity/Q1434401,Nowy Port,dzielnica,A,green,,,,,
101,http://www.wikidata.org/entity/Q252800,https://de.wikipedia.org/wiki/%C3%84btepalast_zu_Oliva,https://en.wikipedia.org/wiki/Abbot%27s_Palace_(Oliwa),Point(18.560277777 54.410833333),7.147,54.410833333333,18.560277777778,10.0,http://www.wikidata.org/entity/Q16560,Abbot's Palace (Oliwa),palace,A,green,,,,,
