,ao_link,lat,lon,itemLabel,ao_description,tier,color,address,url,thingLabel,description,fetched_coordinates,item,articleDE,articleEN,location,distance,sitelinks,thing,to_drop_key
142,https://www.atlasobscura.com/places/sasbahu-temples,26.223256,78.167927,"
Sasbahu Temples
","
A pair of nearly 1,000-year-old temples profusely covered in meticulous stone carvings.
",atlas_obscura,gold,,,,,,,,,,,,,"(26.223256, 78.167927)"
6,,25.7298086,78.4092119,Sonagir,,wikivoyage,red,,,Go next,Sonagir (60 km on the Jhansi road) - famous for Jain temples.,"(25.7298086, 78.4092119)",,,,,,,,"(25.7298086, 78.4092119)"
5,,25.374121549999998,77.82788660942335,Shivpuri,,wikivoyage,red,,,Go next,Shivpuri (119.5 km) - Ancient town and a sacred place.,"(25.374121549999998, 77.82788660942335)",,,,,,,,"(25.374121549999998, 77.82788660942335)"
4,,25.3528706,78.6402465,Orchha,,wikivoyage,red,,,Go next,"Orchha , around 120 km from Gwalior.","(25.3528706, 78.6402465)",,,,,,,,"(25.3528706, 78.6402465)"
3,,25.529855,78.65278023546288,Jhansi,,wikivoyage,red,,,Go next,"Jhansi , around 100 km from Gwalior - famous for Rani Jhansi Fort.","(25.529855, 78.65278023546288)",,,,,,,,"(25.529855, 78.65278023546288)"
2,,25.75,78.5,Datia,,wikivoyage,red,,,Go next,Datia (75 km) - Famous for temples.,"(25.75, 78.5)",,,,,,,,"(25.75, 78.5)"
1,,26.5,78.75,Bhind,,wikivoyage,red,,,Go next,"Bhind (64.0 km) - Famous for Chambal river and its bandits, chhatri of Malhar Rao Holkar.","(26.5, 78.75)",,,,,,,,"(26.5, 78.75)"
0,,27.1752554,78.0098161,Agra,,wikivoyage,red,,,Go next,"Agra (128&nbsp;km) - Famous for Taj Mahal, Red Fort.","(27.1752554, 78.0098161)",,,,,,,,"(27.1752554, 78.0098161)"
8,,26.203981,78.166314,The Usha Kiran Palace ,,wikivoyage,red,Jayendraganj Lashkar ,http://www.tajhotels.com/leisure/usha-kiran-palace-gwalior/default.htm ,Sleep,,"(26.203981, 78.166314)",,,,,,,,"(26.203981, 78.166314)"
7,,26.214203,78.187282,Tansen Residency ,,wikivoyage,red,"6 A, Gandhi Road ",http://www.mpstdc.com/properties/mpt-tansen-residency-gwalior/ ,Sleep,Govt Tourist Lodge. ,"(26.214203, 78.187282)",,,,,,,,"(26.214203, 78.187282)"
6,,26.213444,78.192058,SitaManor ,,wikivoyage,red,"Gandhi Road, Thatipur ",http://www.hotelsitamanor.com/ ,Sleep,,"(26.213444, 78.192058)",,,,,,,,"(26.213444, 78.192058)"
5,,26.215333,78.186653,Regency ,,wikivoyage,red, , ,Sleep,,"(26.215333, 78.186653)",,,,,,,,"(26.215333, 78.186653)"
4,,26.212298,78.180835,Landmark ,,wikivoyage,red,"47, Manik Vilas Colony, Jhansi Road ",http://www.hotellandmarkgwalior.com/ ,Sleep,,"(26.212298, 78.180835)",,,,,,,,"(26.212298, 78.180835)"
3,,26.194092,78.155139,Hotel Surbhi ,,wikivoyage,red,"Naya Bazar, Lashkar ",http://www.hotelsurbhi.hostel.com/ ,Sleep,"25 rooms divided into Deluxe, AC and Executive, In-room amenities include: cable television, telephone, and an attached bathroom with modern fittings and hot/cold water. Room and laundry service are also available.","(26.194092, 78.155139)",,,,,,,,"(26.194092, 78.155139)"
2,,26.204866,78.162185,Hotel Sudarshan ,,wikivoyage,red,"Jinsi Road 1, Chhaparewala Pul ", ,Sleep,,"(26.204866, 78.162185)",,,,,,,,"(26.204866, 78.162185)"
1,,26.213097,78.177424,Hotel Shelter ,,wikivoyage,red,"Padav Circle, Laxman Pura, Lashkar ", ,Sleep,,"(26.213097, 78.177424)",,,,,,,,"(26.213097, 78.177424)"
0,,26.211364,78.187809,The Central Park ,,wikivoyage,red,"Madhav Rao Scindia Marg, City Center ",https://thecentralpark.org/ ,Sleep,3 star deluxe hotel.,"(26.211364, 78.187809)",,,,,,,,"(26.211364, 78.187809)"
0,,26.209589,78.166265,D'N'D ,,wikivoyage,red,Dindayal City Mall - 2nd floor - M.L.B. Road , ,Drink,DND is the only discotheque bar ongoing in Gwalior city.,"(26.209589, 78.166265)",,,,,,,,"(26.209589, 78.166265)"
