,location,distance,item,lat,lon,sitelinks,itemLabel,placeLabel,tier,color
0,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q8413,41.019722222222,28.949722222222,153,Constantine the Great,Church of the Holy Apostles,graves,black
1,Point(28.964469 41.01569),1.409,http://www.wikidata.org/entity/Q8474,41.01569,28.964469,151,Suleiman the Magnificent,Tomb of Suleiman the Magnificent,graves,black
2,Point(28.98 41.0125),0.763,http://www.wikidata.org/entity/Q5600,41.0125,28.98,133,Mimar Sinan,Constantinople,graves,black
3,Point(28.9502674 41.0192788),2.583,http://www.wikidata.org/entity/Q34503,41.0192788,28.9502674,120,Mehmed II,Tomb of Mehmed the Conqueror,graves,black
4,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q41866,41.019722222222,28.949722222222,116,Justinian I,Church of the Holy Apostles,graves,black
7,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q43399,41.019722222222,28.949722222222,101,Andrew the Apostle,Church of the Holy Apostles,graves,black
8,Point(28.9725 41.0085),0.368,http://www.wikidata.org/entity/Q134817,41.0085,28.9725,101,Abdul Hamid II,Mausoleum of Mahmud II,graves,black
9,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q46696,41.019722222222,28.949722222222,93,Theodosius I,Church of the Holy Apostles,graves,black
11,Point(28.9513 41.0266),3.05,http://www.wikidata.org/entity/Q494660,41.0266,28.9513,91,Selim I,Yavuz Selim Mosque,graves,black
12,Point(28.98 41.0125),0.763,http://www.wikidata.org/entity/Q44011,41.0125,28.98,86,Gregory of Nazianzus,Constantinople,graves,black
13,Point(28.964833 41.015643),1.385,http://www.wikidata.org/entity/Q255809,41.015643,28.964833,85,Hürrem Sultan,Hurrem Sultan Tomb,graves,black
14,Point(28.925211 41.026698),4.813,http://www.wikidata.org/entity/Q180280,41.026698,28.925211,81,Turgut Özal,Mausoleum of Turgut Özal,graves,black
15,Point(28.9725 41.0085),0.368,http://www.wikidata.org/entity/Q174791,41.0085,28.9725,80,Mahmud II,Mausoleum of Mahmud II,graves,black
16,Point(28.98 41.008333333),0.409,http://www.wikidata.org/entity/Q161872,41.008333333333,28.98,78,Selim II,Hagia Sophia,graves,black
17,Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q165983,41.01,28.960277777778,78,Bayezid II,Istanbul,graves,black
18,Point(28.9559644 41.0097344),1.711,http://www.wikidata.org/entity/Q199633,41.0097344,28.9559644,76,Selim III,III. Tomb of Mustafa,graves,black
19,Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q172056,41.01,28.960277777778,76,Osman II,Istanbul,graves,black
20,Point(28.9725 41.0085),0.368,http://www.wikidata.org/entity/Q151500,41.0085,28.9725,75,Abdülaziz,Mausoleum of Mahmud II,graves,black
21,Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q174762,41.01,28.960277777778,75,Murad IV,Istanbul,graves,black
22,Point(28.9513 41.0266),3.05,http://www.wikidata.org/entity/Q174772,41.0266,28.9513,74,Abdülmecid I,Yavuz Selim Mosque,graves,black
23,Point(28.979887 41.00779),0.372,http://www.wikidata.org/entity/Q171465,41.00779,28.979887,74,Mehmed III,Tomb of Mehmed III,graves,black
24,Point(28.974138 41.015522),1.027,http://www.wikidata.org/entity/Q170707,41.015522,28.974138,74,Abdul Hamid I,Tomb of Abdulhamid I,graves,black
25,Point(28.9358 41.0479),5.711,http://www.wikidata.org/entity/Q151494,41.0479,28.9358,74,Mehmed V,Tomb of Mehmed V,graves,black
26,Point(29.00666667 41.04166667),4.697,http://www.wikidata.org/entity/Q200582,41.04166667,29.00666667,74,Hayreddin Barbarossa,Tomb of Hayreddin Barbarossa,graves,black
27,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q46720,41.019722222222,28.949722222222,73,Valentinian I,Church of the Holy Apostles,graves,black
28,Point(28.98 41.008333333),0.409,http://www.wikidata.org/entity/Q174798,41.008333333333,28.98,73,Mustafa I,Hagia Sophia,graves,black
29,Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q170514,41.01,28.960277777778,73,Mehmed IV,Istanbul,graves,black
30,Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q199482,41.01,28.960277777778,73,Ahmed III,Istanbul,graves,black
31,Point(28.9559644 41.0097344),1.711,http://www.wikidata.org/entity/Q199484,41.0097344,28.9559644,70,Mustafa III,III. Tomb of Mustafa,graves,black
32,Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q199481,41.01,28.960277777778,69,Mahmud I,Istanbul,graves,black
33,Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q199659,41.01,28.960277777778,69,Mustafa II,Istanbul,graves,black
34,Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q199660,41.01,28.960277777778,68,Ahmed II,Istanbul,graves,black
35,Point(28.972141 41.016875),1.208,http://www.wikidata.org/entity/Q199827,41.016875,28.972141,67,Murad V,New Mosque,graves,black
36,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q41608,41.019722222222,28.949722222222,66,Konstantinos VII,Church of the Holy Apostles,graves,black
37,Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q199825,41.01,28.960277777778,66,Osman III,Istanbul,graves,black
39,Point(28.974138 41.015522),1.027,http://www.wikidata.org/entity/Q199830,41.015522,28.974138,66,Mustafa IV,Tomb of Abdulhamid I,graves,black
40,Point(28.982083333 41.068138888),6.887,http://www.wikidata.org/entity/Q153899,41.068138888889,28.982083333333,66,Enver Pasha,"Monument of Liberty, Istanbul",graves,black
41,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q34074,41.019722222222,28.949722222222,64,Jovian,Church of the Holy Apostles,graves,black
42,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q183452,41.019722222222,28.949722222222,64,Zeno,Church of the Holy Apostles,graves,black
43,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q178004,41.019722222222,28.949722222222,63,Marcian,Church of the Holy Apostles,graves,black
44,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q206737,41.019722222222,28.949722222222,63,Irene of Athens,Church of the Holy Apostles,graves,black
45,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q204843,41.019722222222,28.949722222222,62,Theodora,Church of the Holy Apostles,graves,black
46,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q173470,41.019722222222,28.949722222222,61,Anastasius I,Church of the Holy Apostles,graves,black
47,Point(28.9269 41.0253),4.616,http://www.wikidata.org/entity/Q238745,41.0253,28.9269,60,Adnan Menderes,Mausoleum of Adnan Menderes,graves,black
48,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q41618,41.019722222222,28.949722222222,60,Leo VI the Wise,Church of the Holy Apostles,graves,black
49,Point(28.92084 41.01537),4.724,http://www.wikidata.org/entity/Q243550,41.01537,28.92084,59,Necmettin Erbakan,Merkezefendi Cemetery,graves,black
50,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q41605,41.019722222222,28.949722222222,57,Constantine IV,Church of the Holy Apostles,graves,black
51,Point(28.95722222 41.01972222),2.156,http://www.wikidata.org/entity/Q41628,41.01972222,28.95722222,57,John II Komnenos,Zeyrek Mosque,graves,black
52,Point(28.98 41.0125),0.763,http://www.wikidata.org/entity/Q41603,41.0125,28.98,56,John I Tzimiskes,Constantinople,graves,black
53,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q41622,41.019722222222,28.949722222222,55,Michael III,Church of the Holy Apostles,graves,black
54,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q212647,41.019722222222,28.949722222222,54,Timothy,Church of the Holy Apostles,graves,black
55,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q41625,41.019722222222,28.949722222222,53,Nikephoros II Phokas,Church of the Holy Apostles,graves,black
56,Point(28.982083333 41.068138888),6.887,http://www.wikidata.org/entity/Q315888,41.068138888889,28.982083333333,53,Talaat Paşa,"Monument of Liberty, Istanbul",graves,black
57,Point(29.05 40.913055555),12.1,http://www.wikidata.org/entity/Q41652,40.913055555556,29.05,53,Michael I Rangabe,Kınalıada,graves,black
58,Point(29.0079 41.0738),7.963,http://www.wikidata.org/entity/Q327142,41.0738,29.0079,53,Yaşar Kemal,Zincirlikuyu Cemetery,graves,black
59,Point(28.95555556 41.00861111),1.723,http://www.wikidata.org/entity/Q41646,41.00861111,28.95555556,52,Romanos I Lekapenos,Bodrum Mosque,graves,black
60,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q41643,41.019722222222,28.949722222222,52,Isaac I Komnenos,Church of the Holy Apostles,graves,black
61,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q41663,41.019722222222,28.949722222222,52,Konstantinos VIII,Church of the Holy Apostles,graves,black
62,Point(28.91346 41.00775),5.239,http://www.wikidata.org/entity/Q110126,41.00775,28.91346,51,Hrant Dink,Balıklı Armenian Cemetery,graves,black
63,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q41659,41.019722222222,28.949722222222,51,Zoe Porphyrogenita,Church of the Holy Apostles,graves,black
64,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q41660,41.019722222222,28.949722222222,50,Konstantinos X Doukas,Church of the Holy Apostles,graves,black
65,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q41666,41.019722222222,28.949722222222,49,Theodora Porphyrogenita,Church of the Holy Apostles,graves,black
66,Point(28.98 41.0125),0.763,http://www.wikidata.org/entity/Q41657,41.0125,28.98,49,Romanos III Argyros,Constantinople,graves,black
67,Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q327261,41.01,28.960277777778,49,Aziz Nesin,Istanbul,graves,black
68,Point(28.964469 41.01569),1.409,http://www.wikidata.org/entity/Q80764,41.01569,28.964469,48,Mihrimah Sultan,Tomb of Suleiman the Magnificent,graves,black
69,Point(28.98 41.008333333),0.409,http://www.wikidata.org/entity/Q238091,41.008333333333,28.98,48,Nurbanu Sultan,Hagia Sophia,graves,black
70,Point(28.98 41.0125),0.763,http://www.wikidata.org/entity/Q41689,41.0125,28.98,48,Nikephoros III Botaneiates,Constantinople,graves,black
71,Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q2425979,41.01,28.960277777778,47,Hafsa Sultan,Istanbul,graves,black
72,Point(28.95722222 41.01972222),2.156,http://www.wikidata.org/entity/Q37078,41.01972222,28.95722222,46,Andronikos IV Palaiologos,Zeyrek Mosque,graves,black
73,Point(28.98 41.008333333),0.409,http://www.wikidata.org/entity/Q205688,41.008333333333,28.98,46,Enrico Dandolo,Hagia Sophia,graves,black
74,Point(28.92084 41.01537),4.724,http://www.wikidata.org/entity/Q234289,41.01537,28.92084,45,Halide Edib Adıvar,Merkezefendi Cemetery,graves,black
75,Point(28.98 41.008333333),0.409,http://www.wikidata.org/entity/Q437197,41.008333333333,28.98,45,Safiye Sultan,Hagia Sophia,graves,black
76,Point(28.930575 41.032194),4.762,http://www.wikidata.org/entity/Q316443,41.032194,28.930575,44,Mehmet Akif Ersoy,Edirnekapı Martyr's Cemetery,graves,black
77,Point(28.949722222 41.019722222),2.648,http://www.wikidata.org/entity/Q231919,41.019722222222,28.949722222222,44,Pulcheria,Church of the Holy Apostles,graves,black
78,Point(28.971888888 41.016166666),1.138,http://www.wikidata.org/entity/Q621548,41.016166666667,28.971888888889,43,Turhan Sultan,Tomb of Turhan Hatice Sultan,graves,black
79,Point(28.97111111 41.00888889),0.487,http://www.wikidata.org/entity/Q83275,41.00888889,28.97111111,41,Ziya Gökalp,Çemberlitaş,graves,black
80,Point(28.930575 41.032194),4.762,http://www.wikidata.org/entity/Q76729,41.032194,28.930575,40,Bruno Taut,Edirnekapı Martyr's Cemetery,graves,black
81,Point(28.930575 41.032194),4.762,http://www.wikidata.org/entity/Q311259,41.032194,28.930575,39,Naim Süleymanoğlu,Edirnekapı Martyr's Cemetery,graves,black
82,Point(28.979887 41.00779),0.372,http://www.wikidata.org/entity/Q2682334,41.00779,28.979887,39,Handan Sultan,Tomb of Mehmed III,graves,black
83,Point(29.0079 41.0738),7.963,http://www.wikidata.org/entity/Q319461,41.0738,29.0079,39,Sait Faik Abasıyanık,Zincirlikuyu Cemetery,graves,black
84,Point(29.06602 41.09726),12.619,http://www.wikidata.org/entity/Q366692,41.09726,29.06602,39,Mesut Yılmaz,Kanlıca Cemetery,graves,black
85,Point(28.9157 41.0065),5.049,http://www.wikidata.org/entity/Q68359,41.0065,28.9157,38,Patriarch Athenagoras I of Constantinople,Church of St. Mary of the Spring,graves,black
86,Point(28.957175 41.013794444),1.772,http://www.wikidata.org/entity/Q642614,41.013794444444,28.957175,38,Rüstem Paşa,Şehzade Mosque,graves,black
87,Point(28.960277777 41.01),1.369,http://www.wikidata.org/entity/Q6088718,41.01,28.960277777778,38,Halime Sultan,Istanbul,graves,black
