,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color
0,http://www.wikidata.org/entity/Q12506,https://de.wikipedia.org/wiki/Hagia_Sophia,https://en.wikipedia.org/wiki/Hagia_Sophia,Point(28.98 41.008333333),0.409,41.008333333333,28.98,143,http://www.wikidata.org/entity/Q570116,Hagia Sophia,tourist attraction,S,red
3,http://www.wikidata.org/entity/Q16869,https://de.wikipedia.org/wiki/Konstantinopel,https://en.wikipedia.org/wiki/Constantinople,Point(28.98 41.0125),0.763,41.0125,28.98,125,http://www.wikidata.org/entity/Q56061,Constantinople,administrative territorial entity,S,red
4,http://www.wikidata.org/entity/Q80541,https://de.wikipedia.org/wiki/Sultan-Ahmed-Moschee,"https://en.wikipedia.org/wiki/Blue_Mosque,_Istanbul",Point(28.9768247 41.0053851),0.137,41.0053851,28.9768247,89,http://www.wikidata.org/entity/Q570116,Sultan Ahmed Mosque,tourist attraction,S,red
8,http://www.wikidata.org/entity/Q534799,https://de.wikipedia.org/wiki/Istanbul_(Provinz),https://en.wikipedia.org/wiki/Istanbul_Province,Point(28.976111111 41.012222222),0.65,41.012222222222,28.976111111111,87,http://www.wikidata.org/entity/Q48336,Istanbul Province,province of Turkey,S,red
9,http://www.wikidata.org/entity/Q160077,https://de.wikipedia.org/wiki/Eroberung_von_Konstantinopel_(1453),https://en.wikipedia.org/wiki/Fall_of_Constantinople,Point(28.935 41.03),4.319,41.03,28.935,78,http://www.wikidata.org/entity/Q178561,Fall of Constantinople,battle,S,red
12,http://www.wikidata.org/entity/Q170495,https://de.wikipedia.org/wiki/Topkap%C4%B1-Palast,https://en.wikipedia.org/wiki/Topkap%C4%B1_Palace,Point(28.984 41.013),1.003,41.013,28.984,76,http://www.wikidata.org/entity/Q570116,Topkapı Palace,tourist attraction,S,red
16,http://www.wikidata.org/entity/Q86473,https://de.wikipedia.org/wiki/Flughafen_Istanbul-Atat%C3%BCrk,https://en.wikipedia.org/wiki/Atat%C3%BCrk_Airport,Point(28.814166666 40.976111111),13.983,40.976111111111,28.814166666667,73,http://www.wikidata.org/entity/Q62447,Atatürk Airport,aerodrome,S,red
17,http://www.wikidata.org/entity/Q81492,https://de.wikipedia.org/wiki/Rams_Park,https://en.wikipedia.org/wiki/Rams_Park,Point(28.991 41.103388888),10.861,41.103388888889,28.991,71,http://www.wikidata.org/entity/Q1154710,Rams Park,association football venue,S,red
18,http://www.wikidata.org/entity/Q178643,https://de.wikipedia.org/wiki/S%C3%BCleymaniye-Moschee,https://en.wikipedia.org/wiki/S%C3%BCleymaniye_Mosque,Point(28.963888888 41.016111111),1.477,41.016111111111,28.963888888889,69,http://www.wikidata.org/entity/Q570116,Süleymaniye Mosque,tourist attraction,S,red
22,http://www.wikidata.org/entity/Q211004,https://de.wikipedia.org/wiki/%C3%96kumenisches_Patriarchat_von_Konstantinopel,https://en.wikipedia.org/wiki/Ecumenical_Patriarchate_of_Constantinople,Point(28.951675 41.029222),3.251,41.029222,28.951675,69,http://www.wikidata.org/entity/Q44301618,Ecumenical Patriarchate of Constantinople,Eastern Orthodox patriarchate,S,red
23,http://www.wikidata.org/entity/Q170531,https://de.wikipedia.org/wiki/Konzil_von_Chalcedon,https://en.wikipedia.org/wiki/Council_of_Chalcedon,Point(29.03 40.98),5.407,40.98,29.03,66,http://www.wikidata.org/entity/Q51645,Council of Chalcedon,ecumenical council,S,red
24,http://www.wikidata.org/entity/Q192964,https://de.wikipedia.org/wiki/Universit%C3%A4t_Istanbul,https://en.wikipedia.org/wiki/Istanbul_University,Point(28.963875 41.013036111),1.249,41.013036111111,28.963875,61,http://www.wikidata.org/entity/Q875538,Istanbul University,public university,S,red
26,http://www.wikidata.org/entity/Q179839,https://de.wikipedia.org/wiki/Goldenes_Horn_(T%C3%BCrkei),https://en.wikipedia.org/wiki/Golden_Horn,Point(28.961111111 41.029166666),2.82,41.029166666667,28.961111111111,60,http://www.wikidata.org/entity/Q554394,Golden Horn,ria,S,red
27,http://www.wikidata.org/entity/Q326339,https://de.wikipedia.org/wiki/%C3%9Csk%C3%BCdar,https://en.wikipedia.org/wiki/%C3%9Csk%C3%BCdar,Point(29.01666667 41.01666667),3.609,41.01666667,29.01666667,60,http://www.wikidata.org/entity/Q2460358,Üsküdar,municipality of Turkey,S,red
29,http://www.wikidata.org/entity/Q932886,https://de.wikipedia.org/wiki/Kad%C4%B1k%C3%B6y,https://en.wikipedia.org/wiki/Kad%C4%B1k%C3%B6y,Point(29.036666666 40.986944444),5.541,40.986944444444,29.036666666667,59,http://www.wikidata.org/entity/Q2460358,Kadıköy,municipality of Turkey,S,red
