,itemLabel,lat,lon,address,url,thingLabel,description,fetched_coordinates,tier,color
0,--,0.0,0.0,,,See,,"(0, 0)",wikivoyage,red
0,Sultanahmet Mosque ,41.0054,28.9768,At Meydani Cd 10 ,http://www.sultanahmetcami.org/ ,See,"The defining image of Istanbul, dominating the skyline with its great dome and six minarets. Completed in 1617 for Sultan Ahmed I, it's still a working mosque, so dress appropriately and avoid prayer times. Enter via the courtyard on the SW side. You step (shoeless) into the blue-tiled prayer hall beneath the main dome and its semi-domes. The mihrab is of finely carved marble, well-lit, and the minbar (pulpit) next to it is visible from almost all parts. ","(41.0054, 28.9768)",wikivoyage,red
0,Hagia Sophia ,41.0085,28.9799,Ayasofya Meydanı ,https://ayasofyacamii.gov.tr/ ,See,"The third and grandest of the churches on this site, completed in 537 AD. The 30-m diameter dome covers what was for over 1000 years the largest enclosed space in the world, only surpassed in 1520 by [[Seville]] cathedral. It used ""pendentive"" architecture to throw the dome's weight onto four stout pillars, a design that inspired many Eastern Orthodox churches and Ottoman mosques. It became a mosque after the Ottoman conquest in 1453, remaining so until 1931. It was then a museum until 2020 when it was again proclaimed a mosque. That means you must work around prayer times and dress appropriately.","(41.0085, 28.9799)",wikivoyage,red
1,--,0.0,0.0,,,See,,"(0, 0)",wikivoyage,red
2,--,0.0,0.0,,,See,,"(0, 0)",wikivoyage,red
0,Topkapı Palace ,41.013,28.984,Babı Hümayun Cd 1 ,https://www.millisaraylar.gov.tr/Lokasyon/2/topkapi-sarayi ,See,"The imperial enclave of the Ottoman emperors for four centuries. Lavishly decorated, with exhibitions of fine craftmanship and four courts of increasing grandeur. The second court has the Harem and the State Treasury, housing a weaponry display. On the right, towards the Bosphorus, there is the kitchen exhibition, also with a collection of coffee cups throughout the centuries. The third court has the Imperial Treasury on the right (also with a great view over the Bosphorus) and a collection of  Islamic and Christian relics on the left. The views from the Fourth Court over the Bosphorus are spectacular. Reckon on spending several hours here and bring water as the museum kiosk is overpriced. The museum kiosk is in the kitchen section, on the right-hand side of the second court. Toilets can also be found there, towards the beginning of the second court. These have a shorter line than those in the second court, towards the third court.","(41.013, 28.984)",wikivoyage,red
1,--,0.0,0.0,,,See,,"(0, 0)",wikivoyage,red
2,Turkish and Islamic Arts Museum ,0.0,0.0,Atmeydanı Sk 12 ,https://muze.gov.tr/muze-detay?SectionId,See,"A profusion of carpets, rugs, calligraphy, pottery, Qu'rans and other manuscripts. The museum is housed in the Palace of Pargalı Ibrahim Pasha (1495–1536), who was grand vizier to Suleiman the Magnificent, and the best of pals till Suleiman had him murdered. ","(0, 0)",wikivoyage,red
0,Basilica Cistern ,41.0081,28.9778,Yerebatan Cd 1/3 ,https://www.yerebatan.com/en ,See,"Vast underground cistern built by Justinian in 532 to store the city's water, the largest and best-known of the hundreds constructed. It's a cathedral-like space with 336 richly decorated columns. Time was you explored in a little rowing boat, but tourist numbers have soared and water levels have dropped, so now you follow a boardwalk, with lights, piped music and art installations. It's sometimes a film location, and stages concerts. But the crowds rob it of atmosphere and you might prefer to seek out one of the less-visited cisterns. ","(41.0081, 28.9778)",wikivoyage,red
1,--,0.0,0.0,,,See,,"(0, 0)",wikivoyage,red
2,--,0.0,0.0,,,See,,"(0, 0)",wikivoyage,red
0,Museum of Archaeology ,41.0107,28.9812,Osman Hamdi Bey Yokuşu ,https://muze.gov.tr/muze-detay?SectionId,See,"Turkey was slow to protect its antiquities and to display them properly, but in 1867 Sultan Abdülaziz toured the museums of Paris, London and Vienna and saw what was needed. The main collection is in a grand neo-classical building of 1891, with two annexes for ancient art and Islamic art. Exhibits include Sumerian tablets, pieces of the wall of Babylon, Roman statues, and the Alexander Sarcophagus. There are very detailed historical explanations in both Turkish and English. There is also quite an accurate exhibition about the historical layers and epochs of the city of [[Troy (Turkey)","(41.0107, 28.9812)",wikivoyage,red
0,--,0.0,0.0,,,See,,"(0, 0)",wikivoyage,red
0,--,0.0,0.0,,,See,,"(0, 0)",wikivoyage,red
1,Museum of the History of Science and Technology in Islam ,41.0138,28.9796,Taya Hatun Sk 8A ,https://muze.gov.tr/muze-detay?SectionId,See,"Museum in a restored building that was the stables for Topkapı Palace. It exhibits various instruments for astronomy, clocks, pumps, weaponry and so on developed in Islamic realms down the centuries, but these are modern repro, and explanations of their context are skimpy. Islamic science and technology preceded that of Europe, as they insist, but they get the tone wrong, as if that was the triumphal culmination rather than the springboard for further advance.","(41.0138, 28.9796)",wikivoyage,red
0,Istanbul Railway Museum ,0.0,0.0,Sirkeci Railway Station (street level) , ,See,"Housed in the Europe-side railway terminus of 1890, this exhibits Ottoman and modern Turkish railway history. The [[Orient Express]] came and went from here, with passengers for further east transferring to ferries then the Asia-side terminus of Haydarpaşa, for trains to Crimea, Baghdad and Damascus.","(0, 0)",wikivoyage,red
1,--,0.0,0.0,,,See,,"(0, 0)",wikivoyage,red
2,--,0.0,0.0,,,See,,"(0, 0)",wikivoyage,red
3,Rüstem Pasha Mosque ,41.0176,28.9688,Hasırcılar Cd 62 , ,See,"Built in 1564 by Mimar Sinan for Rüstem Pasha, Grand Vizier of Suleiman the Magnificent, this small mosque has an interior covered by beautiful Iznik pottery, then at its zenith.","(41.0176, 28.9688)",wikivoyage,red
4,Beyazit II Mosque ,41.0103,28.9653,Yeniçeriler Cd , ,See,Imposing mosque built 1500/05. The other parts of the religious complex have found secular use. ,"(41.0103, 28.9653)",wikivoyage,red
5,--,0.0,0.0,,,See,,"(0, 0)",wikivoyage,red
0,Ahırkapı lighthouse ,0.0,0.0,,,See,,"(0, 0)",wikivoyage,red
1,Great Palace Mosaics Museum ,0.0,0.0,Arasta Bazaar ,https://muze.gov.tr/muze-detay?SectionId,See,"This museum hosts the pavement mosaics of the Great Palace of Constantinople, which stretched from the Hippodrome to the coast.","(0, 0)",wikivoyage,red
2,Sokollu Mehmet Pasha Mosque ,41.0048,28.9721,Suterazisi Sk , ,See,"Sokollu Mehmet Pasha was the grand vizier and ''de facto'' ruler of the Ottoman Empire during its 16th century golden age. He commissioned this mosque, one of three in the city to bear his name, but the sloping site was a challenge. He hired the best, [[Architecture#Mimar Sinan ","(41.0048, 28.9721)",wikivoyage,red
3,Little Hagia Sophia ,41.0028,28.9719,Küçük Ayasofya Cd 78 ,https://littlehagiasophia.com/ ,See,"Built as the Church of Saints Sergius and Bacchus around 530 AD, the same time as Hagia Sophia, but their styles differ. Transformed into a mosque in the early 1500s, it's beautifully decorated, with fine marble details, and has a pleasanter atmosphere than the larger busy mosques. The adjoining madrasa houses craft shops.","(41.0028, 28.9719)",wikivoyage,red
0,Theodosius Cistern ,41.0073,28.9726,Piyer Loti Cd 2/1 ,https://www.serefiyesarnici.istanbul/en/ ,See,"This was rediscovered in 2010 when an overlying building was demolished. It was built circa 430 AD to store water brought in by Valens Aqueduct. It's smaller than the better-known Basilica Cistern, but better lit, more atmospheric and less touristy.","(41.0073, 28.9726)",wikivoyage,red
1,Column of Constantine ,41.008553,28.9712828,,,See,,"(41.008553, 28.9712828)",wikivoyage,red
2,Nuruosmaniye Mosque ,0.0,0.0,Vezirhan Cd 33 , ,See,"Built 1748-55, this launched the style we call Ottoman Baroque, with its grand central dome and pencil-thin minarets. It was copied throughout their empire and is replicated in new mosques even today. The name means ""light of the Ottomans,"" and the interior uses light powdery decor, bathed with much more natural light than its gloomier classical predecessors. The complex also has a madrasa and the imaret (public soup kitchen). ","(0, 0)",wikivoyage,red
0,Valens Aqueduct ,41.0162933,28.9549684,,,See,,"(41.0162933, 28.9549684)",wikivoyage,red
0,Molla Zeyrek Mosque ,41.0197,28.9572,İbadethane Sk 2 , ,See,"This is a triple structure: the church of the Monastery of Pantokrator built 1118, then a public church circa 1136 plus a chapel that served as a royal mausoleum. It became a mosque and medresse in Ottoman times, but without massive alteration so it's a prime example of middle-Byzantine architecture. It's nowadays again a mosque, photogenic by day or dusk but the area should be avoided at night.","(41.0197, 28.9572)",wikivoyage,red
1,Kalenderhane Mosque ,0.0,0.0,16 Mart Şehitleri Cd 11 , ,See,"Built circa 1200 as the Eastern Orthodox Theotokos Kyriotissa Church, after the Ottoman conquest it was handed over to the Qalandari, a Sufi sect. In the mid-18th century it was converted to a Sunni mosque, and its mosaics were plastered over. The original appearance was restored in the 1970s. ","(0, 0)",wikivoyage,red
2,Süleymaniye Mosque ,41.0161,28.9639,Prof Sıddık Sami Onar Cd 1 ,http://www.suleymaniyecamii.org/ ,See,"On top of a hill overlooking the Golden Horn, this is a magnificent mosque built by Sinan in the 1550s. It was centrepiece of a large ''külliye'', a religious complex which included madrasas, a public kitchen and a hospital.. The small cemetery east has the mausoleums of Suleiman the Magnificent and of his wife Hurrem Sultan or Roxelana.","(41.0161, 28.9639)",wikivoyage,red
0,Column of Marcian ,41.0154411,28.9502846,,,See,,"(41.0154411, 28.9502846)",wikivoyage,red
1,Fatih Mosque ,41.0197,28.9497,Hattat Nafiz Cd 6 , ,See,"The original mosque was built between 1463-1470 by the Greek architect Atik Sinan, by order of Sultan Mehmet II the Conqueror, on the site of the former Church of the Holy Apostles, which had served as Byzantine Imperial burial place for a thousand years. The grand complex with eight medreses, a library, hospital, hospice, caravanserai, market, hamam, primary school and public soup kitchen was smashed again and again by earthquakes, and the present building is from 1771 to a different design. The interior is lavish, and outside is the ornate tomb of Mehmet II and his wife Gülbahar Hatun.","(41.0197, 28.9497)",wikivoyage,red
2,Hırka-i Şerif Mosque ,0.0,0.0,Akseki Cami Sk 1 , ,See,"Completed in 1851, this houses a mantle said to have been worn by the prophet Muhammad. The mantle is displayed during Ramadan.","(0, 0)",wikivoyage,red
0,St George's Cathedral ,41.0292,28.9517,Dr Sadık Ahmet Cd 19 ,https://www.ec-patr.org/ ,See,"This is modest from the outside, as the Ottomans would not permit non-Muslim religious buildings to rival the mosques. The interior is lavish but its chief importance is as the senior Eastern Orthodox church. Their Patriarchate has been housed here since 1586 when they were ejected from Agia Sophia. ","(41.0292, 28.9517)",wikivoyage,red
0,Phanar Greek Orthodox College ,41.0291107,28.9490685,,,See,"This is the red-brick castle seen south of St George. Built 1881/83, it teaches the standard Turkish curriculum plus Greek language and culture, and the tower houses an observatory. No visits.","(41.0291107, 28.9490685)",wikivoyage,red
1,Fethiye Mosque ,41.0292,28.9464,Draman Cd , ,See,"The Church of Theotokos Pammakaristos (""All-Blessed Mother of God"") was built between the 11th and 12th centuries. The ''parekklesion'' or side-chapel was added maybe 1300, with rich mosaics. The main building became a mosque in 1591, named for Sultan Murad III's conquest (''fetih'', hence Fethiye) of Georgia and Azerbaijan: the interior was opened up, but the chapel was undisturbed and in modern times became a museum. In 2020 the entire building was proclaimed a mosque, and every scrap of Byzantine artistry was covered up, so now there's nothing worth seeing.","(41.0292, 28.9464)",wikivoyage,red
0,St Stephen Church ,41.0319,28.9497,Mürselpaşa Cd , ,See,"A remarkable Bulgarian Orthodox church better known as ''Demir Kilise'', ""Iron Church"", as it's a cast iron prefab. The Bulgarians split from the Greek Orthodox and established their own wooden church in 1870, which burned down. The ground was too weak for a masonry or concrete structure so they opted for cast iron. The sections were cast in Vienna, shipped here and assembled, to open in 1898. The church was renovated in 2018, but the archpatriarchate building across the street remains a gaunt shell. ","(41.0319, 28.9497)",wikivoyage,red
0,Ahrida Synagogue ,41.0328,28.9456,Kürkçü Çeşmesi Sk 7 , ,See,"This was built in the 1430s by Grecian Jews (""Romaniotes"") from the city of [[Ohrid]], now in North Macedonia. The district of Balat was a Jewish quarter, swelled from 1492 by those expelled from Spain. The synagogue is only open for pre-arranged tours.","(41.0328, 28.9456)",wikivoyage,red
1,Palace of the Porphyrogenitus ,0.0,0.0,Şişhane Cd ,https://www.tekfursarayi.istanbul/en ,See,The [[Byzantine Empire ,"(0, 0)",wikivoyage,red
2,Kariye Mosque ,0.0,0.0,Kariye Cami Sk 18 ,https://kariye.demx.org.tr ,See,"''Chora'' means countryside, and when built as a monastery in the 4th century it stood outside the Constantine walls; a century later, it was incorporated into the Theodosian walls. It was rebuilt in the 11th century then wrecked by an earthquake, so the structure and fabulous mosaics you see now are from the 14th century. When the church was converted to a mosque in 1500 the mosaics were plastered over, and only restored in 1958 when it became a museum. In 2020 it was again proclaimed a mosque but here (unlike Fethiye Mosque) they saw the sense and tourist income of preserving the mosaics. About 15 minutes before prayer times, visitors are sent out and (if they have kept their ticket) can come back around half an hour later through the main entrance. Those who attend prayer are sent out after prayer; they cannot stay to visit and can only access the parts of the chora that lead to the prayer room.","(0, 0)",wikivoyage,red
0,Istanbul#Theodosian Walls Walk | Theodosian Walls Walk,0.0,0.0,,,See,"'''City Walls''' were first built in the 4th century under Constantine, then a second line was built further out in the 5th century under Theodosius II. This outer wall closed off the entire peninsula from the Golden Horn to the Marmara coast and is mostly intact, though battle-scarred and with gaps for modern highways. For the complete walking route along them see Istanbul#Theodosian Walls Walk | Theodosian Walls Walk. There are easily accessible sections around Chora Church (above), the Pazartekke station of T1 tram line, and Yedikule Fortress.","(0, 0)",wikivoyage,red
