,ao_link,lat,lon,itemLabel,ao_description,tier,color
35,https://www.atlasobscura.com/places/south-park-street-cemetery,22.545811,88.360592,"
South Park Street Cemetery
","
An eclectic mix of influences rot together in harmony in this India necropolis.
",atlas_obscura,gold
37,https://www.atlasobscura.com/places/college-street,22.576014,88.364466,"
College Street
","
The world's largest secondhand book market is a haven for bibliophiles and bargain hunters.
",atlas_obscura,gold
40,https://www.atlasobscura.com/places/nahoum-sons-kolkata-jewish-bakery,22.560069,88.352468,"
Nahoum and Sons
","
This Jewish bakery, among the last in the region, sells legendary sweets from a century-old storefront.
",atlas_obscura,gold
95,https://www.atlasobscura.com/places/terreti-bazaar,22.573307,88.354801,"
Terreti Bazaar 
","
For just a few hours each morning, this market serves specialties from the city's shrinking Chinese-Indian community.
",atlas_obscura,gold
96,https://www.atlasobscura.com/places/terreti-bazaar,22.573307,88.354801,"
Terreti Bazaar 
","
For just a few hours each morning, this market serves specialties from the city's shrinking Chinese-Indian community.
",atlas_obscura,gold
132,https://www.atlasobscura.com/places/the-black-hole-of-calcutta,22.554246,88.335874,"
The Black Hole of Calcutta
","
The site of an atrocity that would be used to justify Britain’s conquest of India.
",atlas_obscura,gold
138,https://www.atlasobscura.com/places/mud-statues-of-kumortuli,22.599552,88.362708,"
Mud Statues of Kumortuli 
","
The potters' quarter is packed with artists sculpting clay gods with mud from the sacred Ganges river.
",atlas_obscura,gold
153,https://www.atlasobscura.com/places/cathedral-of-the-most-holy-rosary,22.57862,88.353388,"
Cathedral of the Most Holy Rosary
","
Kolkata’s only Portuguese church has a curious link with chickens.
",atlas_obscura,gold
154,https://www.atlasobscura.com/places/kolkata-pen-hospital,22.563299,88.351407,"
Pen Hospital
","
For more than 70 years, this small shop has been a go-to for Kolkata's fountain pen connoisseurs and collectors.
",atlas_obscura,gold
179,https://www.atlasobscura.com/places/armenian-church-of-the-holy-nazareth,22.579622,88.351325,"
Armenian Church of the Holy Nazareth
","
This historic complex is home to the oldest Christian grave in Kolkata, India.
",atlas_obscura,gold
188,https://www.atlasobscura.com/places/ronald-ross-memorial,22.540889,88.341482,"
Ronald Ross Memorial
","
A monument to the British doctor who connected mosquitoes to malaria.
",atlas_obscura,gold
204,https://www.atlasobscura.com/places/chinese-kali-mandir-temple,22.547651,88.391314,"
Chinese Kali Mandir
","
In Kolkata's China Town, a temple to the Hindu goddess Kali.
",atlas_obscura,gold
