,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,placeLabel,ao_link,ao_description,address,url,description,fetched_coordinates
0,http://www.wikidata.org/entity/Q1348,https://de.wikipedia.org/wiki/Kolkata,https://en.wikipedia.org/wiki/Kolkata,Point(88.3638815 22.5726723),0.003,22.5726723,88.3638815,188.0,http://www.wikidata.org/entity/Q174844,Kolkata,megacity,S,orange,,,,,,,
4,http://www.wikidata.org/entity/Q1356,https://de.wikipedia.org/wiki/Westbengalen,https://en.wikipedia.org/wiki/West_Bengal,Point(88.366666666 22.566666666),0.723,22.566666666667,88.366666666667,146.0,http://www.wikidata.org/entity/Q12443800,West Bengal,state of India,S,orange,,,,,,,
5,http://www.wikidata.org/entity/Q129286,,https://en.wikipedia.org/wiki/British_Raj,Point(88.337777777 22.541111111),4.414,22.541111111111,88.337777777778,93.0,http://www.wikidata.org/entity/Q133156,British Raj,colony,S,orange,,,,,,,
6,http://www.wikidata.org/entity/Q205697,https://de.wikipedia.org/wiki/Haora,https://en.wikipedia.org/wiki/Howrah,Point(88.329444444 22.58),3.63,22.58,88.329444444444,74.0,http://www.wikidata.org/entity/Q105074756,Howrah,municipal corporation of West Bengal,S,orange,,,,,,,
7,http://www.wikidata.org/entity/Q1145306,https://de.wikipedia.org/wiki/University_of_Calcutta,https://en.wikipedia.org/wiki/University_of_Calcutta,Point(88.3628 22.575),0.285,22.575,88.3628,64.0,http://www.wikidata.org/entity/Q875538,University of Calcutta,public university,S,orange,,,,,,,
9,http://www.wikidata.org/entity/Q787124,https://de.wikipedia.org/wiki/Yuba_Bharati_Krirangan,https://en.wikipedia.org/wiki/Salt_Lake_Stadium,Point(88.409167 22.568889),4.667,22.568889,88.409167,33.0,http://www.wikidata.org/entity/Q1154710,Vivekananda Yuba Bharati Krirangan,association football venue,S,orange,,,,,,,
10,http://www.wikidata.org/entity/Q1356352,https://de.wikipedia.org/wiki/Victoria_Memorial_(Indien),"https://en.wikipedia.org/wiki/Victoria_Memorial,_Kolkata",Point(88.3425 22.5449),3.787,22.5449,88.3425,31.0,http://www.wikidata.org/entity/Q5003624,Victoria Memorial,memorial,S,orange,,,,,,,
12,http://www.wikidata.org/entity/Q817165,https://de.wikipedia.org/wiki/Bengalen_(Pr%C3%A4sidentschaft),https://en.wikipedia.org/wiki/Bengal_Presidency,Point(88.337778 22.541111),4.414,22.541111,88.337778,26.0,http://www.wikidata.org/entity/Q15646712,Bengal Presidency,province of British India,S,orange,,,,,,,
14,http://www.wikidata.org/entity/Q739641,https://de.wikipedia.org/wiki/Howrah_Bridge,https://en.wikipedia.org/wiki/Howrah_Bridge,Point(88.34694 22.58527),2.236,22.58527,88.34694,26.0,http://www.wikidata.org/entity/Q1429218,Howrah Bridge,cantilever bridge,S,orange,,,,,,,
16,http://www.wikidata.org/entity/Q1202492,,https://en.wikipedia.org/wiki/Black_Hole_of_Calcutta,Point(88.348 22.5734),1.634,22.5734,88.348,25.0,http://www.wikidata.org/entity/Q89753,Black Hole of Calcutta,dungeon,S,orange,,,,,,,
18,http://www.wikidata.org/entity/Q1364900,https://de.wikipedia.org/wiki/Indian_Museum,https://en.wikipedia.org/wiki/Indian_Museum,Point(88.350833333 22.558055555),2.105,22.558055555556,88.350833333333,25.0,http://www.wikidata.org/entity/Q17431399,Indian Museum,national museum,S,orange,,,,,,,
19,http://www.wikidata.org/entity/Q2035004,https://de.wikipedia.org/wiki/Ranji_Stadium,https://en.wikipedia.org/wiki/Eden_Gardens,Point(88.343333333 22.564444444),2.3,22.564444444444,88.343333333333,25.0,http://www.wikidata.org/entity/Q682943,Eden Gardens,cricket field,S,orange,,,,,,,
20,http://www.wikidata.org/entity/Q122981749,https://de.wikipedia.org/wiki/East_Bengal_FC,https://en.wikipedia.org/wiki/East_Bengal_FC,Point(88.343236111 22.559461111),2.579,22.559461111111,88.343236111111,25.0,http://www.wikidata.org/entity/Q476028,East Bengal FC,association football club,S,orange,,,,,,,
21,http://www.wikidata.org/entity/Q2750027,,"https://en.wikipedia.org/wiki/Fort_William,_India",Point(88.338055555 22.557777777),3.126,22.557777777778,88.338055555556,22.0,http://www.wikidata.org/entity/Q1785071,Fort William,fort,S,orange,,,,,,,
22,http://www.wikidata.org/entity/Q129094549,,https://en.wikipedia.org/wiki/2024_Kolkata_rape_and_murder,Point(88.3782948 22.6041254),3.8,22.6041254,88.3782948,20.0,http://www.wikidata.org/entity/Q132821,2024 R. G. Kar Medical College and Hospital rape and murder,murder,S,orange,,,,,,,
26,http://www.wikidata.org/entity/Q2096814,https://de.wikipedia.org/wiki/Unruhen_in_Kalkutta_1946,https://en.wikipedia.org/wiki/Direct_Action_Day,Point(88.36 22.58),0.91,22.58,88.36,17.0,http://www.wikidata.org/entity/Q1190554,Direct Action Day,occurrence,A,green,,,,,,,
