,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color
0,http://www.wikidata.org/entity/Q1498,https://de.wikipedia.org/wiki/Uttar_Pradesh,https://en.wikipedia.org/wiki/Uttar_Pradesh,Point(80.91 26.85),2.776,26.85,80.91,140,http://www.wikidata.org/entity/Q12443800,Uttar Pradesh,state of India,S,orange
1,http://www.wikidata.org/entity/Q47916,https://de.wikipedia.org/wiki/Lucknow,https://en.wikipedia.org/wiki/Lucknow,Point(80.947 26.847),1.579,26.847,80.947,115,http://www.wikidata.org/entity/Q1549591,Lucknow,big city,S,orange
2,http://www.wikidata.org/entity/Q248705,https://de.wikipedia.org/wiki/Avadh,https://en.wikipedia.org/wiki/Awadh,Point(80.915833 26.860556),3.115,26.860556,80.915833,37,http://www.wikidata.org/entity/Q1620908,Awadh,historical region,S,orange
3,http://www.wikidata.org/entity/Q2672666,https://de.wikipedia.org/wiki/Flughafen_Lucknow,https://en.wikipedia.org/wiki/Chaudhary_Charan_Singh_International_Airport,Point(80.88333333 26.76194444),9.879,26.76194444,80.88333333,29,http://www.wikidata.org/entity/Q1248784,Chaudhary Charan Singh Airport,airport,S,orange
5,http://www.wikidata.org/entity/Q2450968,,https://en.wikipedia.org/wiki/Kakori,Point(80.8 26.88),14.141,26.88,80.8,19,http://www.wikidata.org/entity/Q486972,Kakori,human settlement,A,green
6,http://www.wikidata.org/entity/Q2543287,,https://en.wikipedia.org/wiki/Malihabad,Point(80.72 26.94),24.11,26.94,80.72,19,http://www.wikidata.org/entity/Q486972,Malihabad,human settlement,A,green
7,http://www.wikidata.org/entity/Q3630998,,https://en.wikipedia.org/wiki/Bara_Imambara,Point(80.912885 26.869104),4.065,26.869104,80.912885,19,http://www.wikidata.org/entity/Q141140,Bara Imambara,husayniyya,A,green
10,http://www.wikidata.org/entity/Q1756056,,https://en.wikipedia.org/wiki/Itaunja,Point(80.92 27.08),26.936,27.08,80.92,18,http://www.wikidata.org/entity/Q486972,Itaunja,human settlement,A,green
11,http://www.wikidata.org/entity/Q3780142,,https://en.wikipedia.org/wiki/Barabanki,Point(81.2 26.92),27.852,26.92,81.2,18,http://www.wikidata.org/entity/Q515,Barabanki,city,A,green
12,http://www.wikidata.org/entity/Q1707530,,"https://en.wikipedia.org/wiki/Gosainganj,_Lucknow",Point(81.12 26.77),19.897,26.77,81.12,17,http://www.wikidata.org/entity/Q486972,Gosainganj,human settlement,A,green
13,http://www.wikidata.org/entity/Q2483390,https://de.wikipedia.org/wiki/Lucknow_(Division),https://en.wikipedia.org/wiki/Lucknow_division,Point(80.92 26.85),1.962,26.85,80.92,17,http://www.wikidata.org/entity/Q125907346,Lucknow division,division of Uttar Pradesh,A,green
