,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color
0,http://www.wikidata.org/entity/Q1156,https://de.wikipedia.org/wiki/Mumbai,https://en.wikipedia.org/wiki/Mumbai,Point(72.8775 19.075833333),4.612,19.075833333333,72.8775,216,http://www.wikidata.org/entity/Q174844,Mumbai,megacity,S,orange
5,http://www.wikidata.org/entity/Q1191,https://de.wikipedia.org/wiki/Maharashtra,https://en.wikipedia.org/wiki/Maharashtra,Point(72.82 18.97),16.013,18.97,72.82,147,http://www.wikidata.org/entity/Q12443800,Maharashtra,state of India,S,orange
6,http://www.wikidata.org/entity/Q207749,https://de.wikipedia.org/wiki/Thane,https://en.wikipedia.org/wiki/Thane,Point(72.963333333 19.18),12.219,19.18,72.963333333333,74,http://www.wikidata.org/entity/Q1549591,Thane,big city,S,orange
8,http://www.wikidata.org/entity/Q61445,https://de.wikipedia.org/wiki/Navi_Mumbai,https://en.wikipedia.org/wiki/Navi_Mumbai,Point(73.01 19.03),10.71,19.03,73.01,69,http://www.wikidata.org/entity/Q1074523,Navi Mumbai,planned community,S,orange
11,http://www.wikidata.org/entity/Q76421,https://de.wikipedia.org/wiki/Anschl%C3%A4ge_in_Mumbai_2008,https://en.wikipedia.org/wiki/2008_Mumbai_attacks,Point(72.833333333 18.921944444),19.617,18.921944444444,72.833333333333,57,http://www.wikidata.org/entity/Q25917186,26/11 Mumbai attacks,coordinated terrorist attack,S,orange
12,http://www.wikidata.org/entity/Q649384,https://de.wikipedia.org/wiki/Elephanta-H%C3%B6hlen,https://en.wikipedia.org/wiki/Elephanta_Caves,Point(72.931388888 18.963333333),12.739,18.963333333333,72.931388888889,56,http://www.wikidata.org/entity/Q35509,Elephanta Caves,cave,S,orange
13,http://www.wikidata.org/entity/Q235884,https://de.wikipedia.org/wiki/Chhatrapati_Shivaji_Terminus,https://en.wikipedia.org/wiki/Chhatrapati_Shivaji_Terminus,Point(72.8355 18.9398),17.774,18.9398,72.8355,52,http://www.wikidata.org/entity/Q11606300,Chhatrapati Shivaji Maharaj Terminus,last station,S,orange
16,http://www.wikidata.org/entity/Q460222,https://de.wikipedia.org/wiki/Ulhasnagar,https://en.wikipedia.org/wiki/Ulhasnagar,Point(73.15 19.216666666),28.569,19.216666666667,73.15,50,http://www.wikidata.org/entity/Q1549591,Ulhasnagar,big city,S,orange
18,http://www.wikidata.org/entity/Q504368,https://de.wikipedia.org/wiki/Flughafen_Mumbai,https://en.wikipedia.org/wiki/Chhatrapati_Shivaji_Maharaj_International_Airport,Point(72.868055555 19.088611111),5.735,19.088611111111,72.868055555556,50,http://www.wikidata.org/entity/Q644371,Chhatrapati Shivaji Maharaj International Airport,international airport,S,orange
20,http://www.wikidata.org/entity/Q645725,https://de.wikipedia.org/wiki/Bhiwandi,https://en.wikipedia.org/wiki/Bhiwandi,Point(73.066666666 19.3),29.066,19.3,73.066666666667,46,http://www.wikidata.org/entity/Q1549591,Bhiwandi,big city,S,orange
