,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,ao_link,ao_description,address,url,description,fetched_coordinates
0,http://www.wikidata.org/entity/Q3046409,https://de.wikipedia.org/wiki/Singapore_Botanic_Gardens,https://en.wikipedia.org/wiki/Singapore_Botanic_Gardens,Point(103.8162 1.3151),4.685,1.3151,103.8162,43.0,http://www.wikidata.org/entity/Q167346,Singapore Botanic Gardens,botanical garden,S,orange,,,,,,
2,http://www.wikidata.org/entity/Q376178,https://de.wikipedia.org/wiki/Straits_Settlements,https://en.wikipedia.org/wiki/Straits_Settlements,Point(103.8 1.366666666),2.414,1.3666666666667,103.8,37.0,http://www.wikidata.org/entity/Q1351282,Straits Settlements,crown colony,S,orange,,,,,,
3,http://www.wikidata.org/entity/Q1054746,https://de.wikipedia.org/wiki/Pulau_Ujong,https://en.wikipedia.org/wiki/Singapore_Island,Point(103.8 1.383333333),3.633,1.3833333333333,103.8,29.0,http://www.wikidata.org/entity/Q23442,Singapore Island,island,S,orange,,,,,,
4,http://www.wikidata.org/entity/Q720209,https://de.wikipedia.org/wiki/Bukit_Timah_(H%C3%BCgel),https://en.wikipedia.org/wiki/Bukit_Timah_Hill,Point(103.776375 1.354680555),4.801,1.3546805555556,103.776375,27.0,http://www.wikidata.org/entity/Q54050,Bukit Timah,hill,S,orange,,,,,,
5,http://www.wikidata.org/entity/Q569689,https://de.wikipedia.org/wiki/Luftangriffe_auf_Singapur_(1944%E2%80%931945),https://en.wikipedia.org/wiki/Bombing_of_Singapore_(1944%E2%80%931945),Point(103.8 1.36666667),2.414,1.36666667,103.8,18.0,http://www.wikidata.org/entity/Q831663,Bombing of Singapore,military campaign,A,green,,,,,,
7,http://www.wikidata.org/entity/Q385725,https://de.wikipedia.org/wiki/Bukit-Timah-Reservat,https://en.wikipedia.org/wiki/Bukit_Timah_Nature_Reserve,Point(103.778 1.35278),4.638,1.3869444444444,103.80083333333,17.0,http://www.wikidata.org/entity/Q179049,Bukit Timah Nature Reserve,nature reserve,A,green,,,,,,
19,http://www.wikidata.org/entity/Q2734905,https://de.wikipedia.org/wiki/Toa_Payoh,https://en.wikipedia.org/wiki/Toa_Payoh,Point(103.85 1.335),4.188,1.335,103.85,16.0,http://www.wikidata.org/entity/Q618123,Toa Payoh,geographical feature,A,green,,,,,,
25,http://www.wikidata.org/entity/Q4420038,,https://en.wikipedia.org/wiki/Singapore_in_Malaysia,Point(103.8 1.36667),2.414,1.36667,103.8,15.0,http://www.wikidata.org/entity/Q7275,Singapore in Federation of Malaysia,state,A,green,,,,,,
31,http://www.wikidata.org/entity/Q2266049,,https://en.wikipedia.org/wiki/Ang_Mo_Kio_MRT_station,Point(103.84945 1.370016666),3.626,1.3700166666667,103.84945,14.0,http://www.wikidata.org/entity/Q1342434,Ang Mo Kio MRT station,Spanish solution,A,green,,,,,,
36,http://www.wikidata.org/entity/Q3249777,,"https://en.wikipedia.org/wiki/Bishan,_Singapore",Point(103.851 1.35083),3.57,1.35083,103.851,13.0,http://www.wikidata.org/entity/Q570116,Bishan,tourist attraction,A,green,,,,,,
39,http://www.wikidata.org/entity/Q11081257,,https://en.wikipedia.org/wiki/Singapore_Police_Force,Point(103.845344444 1.324322222),4.641,1.3243222222222,103.84534444444,13.0,http://www.wikidata.org/entity/Q327333,Singapore Police Force,government agency,A,green,,,,,,
43,http://www.wikidata.org/entity/Q1094417,https://de.wikipedia.org/wiki/Kallang_River,https://en.wikipedia.org/wiki/Kallang_River,Point(103.824722222 1.367222222),1.266,1.3011111111111,103.87,12.0,http://www.wikidata.org/entity/Q4022,Kallang River,river,A,green,,,,,,
46,http://www.wikidata.org/entity/Q1108329,,https://en.wikipedia.org/wiki/Bishan_Stadium,Point(103.851475 1.354545),3.566,1.354545,103.851475,11.0,http://www.wikidata.org/entity/Q1049757,Bishan Stadium,multi-purpose sports venue,A,green,,,,,,
59,http://www.wikidata.org/entity/Q5060520,,https://en.wikipedia.org/wiki/Central_Catchment_Nature_Reserve,Point(103.8 1.36667),2.414,1.36667,103.8,10.0,http://www.wikidata.org/entity/Q179049,Central Catchment Nature Reserve,nature reserve,A,green,,,,,,
60,http://www.wikidata.org/entity/Q3244528,,https://en.wikipedia.org/wiki/Raffles_Institution,Point(103.843951 1.347598),2.916,1.347598,103.843951,9.0,http://www.wikidata.org/entity/Q159334,Raffles Institution,secondary school,B,violet,,,,,,
66,http://www.wikidata.org/entity/Q4294312,,https://en.wikipedia.org/wiki/Ministry_of_Home_Affairs_(Singapore),Point(103.8449 1.32386389),4.651,1.32386389,103.8449,9.0,http://www.wikidata.org/entity/Q6589202,"Ministry of Home Affairs, Singapore",interior ministry,B,violet,,,,,,
69,http://www.wikidata.org/entity/Q4761845,,https://en.wikipedia.org/wiki/Ang_Mo_Kio,Point(103.845555555 1.37),3.232,1.37,103.84555555556,9.0,http://www.wikidata.org/entity/Q104527265,Ang Mo Kio,planning area of Singapore,B,violet,,,,,,
