item,itemLabel,lat,lon,location,distance,sitelinks,thingLabel
http://www.wikidata.org/entity/Q84999029,Rajajinagar First Grade College,12.9846655,77.5537526,Point(77.5537526 12.9846655),0.204,0,college
http://www.wikidata.org/entity/Q111063070,OYO 26900 Royal Inn,12.985332,77.553246,Point(77.553246 12.985332),0.251,0,hotel
http://www.wikidata.org/entity/Q111063315,OYO 3664 Hotel Shivaal's Residency,12.985794,77.552328,Point(77.552328 12.985794),0.299,0,hotel
http://www.wikidata.org/entity/Q6975125,"National Public School, Rajajinagar",12.98416111,77.54953889,Point(77.54953889 12.98416111),0.364,1,school
http://www.wikidata.org/entity/Q111063487,OYO 12802 KES Country Classic,12.9874133,77.5527133,Point(77.5527133 12.9874133),0.476,0,hotel
http://www.wikidata.org/entity/Q59536858,Karnataka Health Promotion Trust,12.978303,77.550805,Point(77.550805 12.978303),0.576,0,organization
http://www.wikidata.org/entity/Q111416007,Fairfield by Marriott Bengaluru Rajajinagar,12.98269,77.559,Point(77.559 12.98269),0.681,0,hotel
http://www.wikidata.org/entity/Q84999096,SJR Women College,12.9823165,77.559216,Point(77.559216 12.9823165),0.709,0,college
http://www.wikidata.org/entity/Q111063178,OYO 13594 Mathrushree Residency,12.9899115,77.5533384,Point(77.5533384 12.9899115),0.757,0,hotel
http://www.wikidata.org/entity/Q111063798,SPOT ON 49367 R K Residency,12.982367543577,77.559971250594,Point(77.55997125 12.982367543),0.789,0,hotel
http://www.wikidata.org/entity/Q111063098,SPOT ON 83080 Hotel Aryan Residency,12.990234865317,77.552369702607,Point(77.552369702 12.990234865),0.791,0,hotel
http://www.wikidata.org/entity/Q111063734,OYO 765 Hotel Sunil Residency,12.9886292,77.5477809,Point(77.5477809 12.9886292),0.813,0,hotel
http://www.wikidata.org/entity/Q111063204,Capital O 46423 Clove Boutique Hotel Rajaji Nagar,12.985,77.56,Point(77.56 12.985),0.815,0,hotel
http://www.wikidata.org/entity/Q85094310,Sheshadripuram Commerce College,12.9756072,77.5547351,Point(77.5547351 12.9756072),0.864,0,college
http://www.wikidata.org/entity/Q23838569,Magadi Road metro station,12.9756582,77.5554118,Point(77.5554118 12.9756582),0.88,1,metro station
http://www.wikidata.org/entity/Q23838569,Magadi Road metro station,12.9756582,77.5554118,Point(77.5554118 12.9756582),0.88,1,elevated station
http://www.wikidata.org/entity/Q85093593,ASC Degree College,12.9769621,77.5473115,Point(77.5473115 12.9769621),0.903,0,college
http://www.wikidata.org/entity/Q111063068,Townhouse Oak Abhimaani Vasathi,12.9870673,77.5600319,Point(77.5600319 12.9870673),0.904,0,hotel
http://www.wikidata.org/entity/Q84014269,P R College of Nursing,12.975777,77.5580856,Point(77.5580856 12.975777),1.003,0,college
http://www.wikidata.org/entity/Q52856516,ESI - Post Graduate Institute of Medical Science and Research,12.992363,77.553314,Point(77.553314 12.992363),1.029,0,medical organization
http://www.wikidata.org/entity/Q48726298,"Government First Grade College, Rajajinagar",12.9925127,77.5531742,Point(77.5531742 12.9925127),1.044,0,academic institution
