item,itemLabel,lat,lon,location,distance,sitelinks,thingLabel,thing,articleEN,articleDE
http://www.wikidata.org/entity/Q6975125,"National Public School, Rajajinagar",12.98416111,77.54953889,Point(77.54953889 12.98416111),0.364,1,school,http://www.wikidata.org/entity/Q3914,"https://en.wikipedia.org/wiki/National_Public_School,_Rajajinagar",
http://www.wikidata.org/entity/Q23838569,Magadi Road metro station,12.9756582,77.5554118,Point(77.5554118 12.9756582),0.88,1,metro station,http://www.wikidata.org/entity/Q928830,https://en.wikipedia.org/wiki/Magadi_Road_metro_station,
http://www.wikidata.org/entity/Q23838569,Magadi Road metro station,12.9756582,77.5554118,Point(77.5554118 12.9756582),0.88,1,elevated station,http://www.wikidata.org/entity/Q11670533,https://en.wikipedia.org/wiki/Magadi_Road_metro_station,
http://www.wikidata.org/entity/Q23838583,Hosahalli metro station,12.974303,77.5454434,Point(77.5454434 12.974303),1.26,2,metro station,http://www.wikidata.org/entity/Q928830,https://en.wikipedia.org/wiki/Hosahalli_metro_station,
http://www.wikidata.org/entity/Q23838583,Hosahalli metro station,12.974303,77.5454434,Point(77.5454434 12.974303),1.26,2,elevated station,http://www.wikidata.org/entity/Q11670533,https://en.wikipedia.org/wiki/Hosahalli_metro_station,
http://www.wikidata.org/entity/Q7456049,Seshadripuram,12.98333333,77.56666667,Point(77.56666667 12.98333333),1.51,2,human settlement,http://www.wikidata.org/entity/Q486972,https://en.wikipedia.org/wiki/Seshadripura,
http://www.wikidata.org/entity/Q4866307,Basaveshwaranagar,12.986666666667,77.538611111111,Point(77.538611111 12.986666666),1.579,3,human settlement,http://www.wikidata.org/entity/Q486972,https://en.wikipedia.org/wiki/Basaveshwaranagara,
http://www.wikidata.org/entity/Q39070950,City Railway Station metro station,12.9758405,77.5657558,Point(77.5657558 12.9758405),1.628,2,metro station,http://www.wikidata.org/entity/Q928830,https://en.wikipedia.org/wiki/Krantivira_Sangolli_Rayanna_Railway_Station_metro_station,
http://www.wikidata.org/entity/Q39070950,City Railway Station metro station,12.9758405,77.5657558,Point(77.5657558 12.9758405),1.628,2,underground station,http://www.wikidata.org/entity/Q22808403,https://en.wikipedia.org/wiki/Krantivira_Sangolli_Rayanna_Railway_Station_metro_station,
http://www.wikidata.org/entity/Q87763738,COVID-19 pandemic in Karnataka,12.970213888889,77.560288888889,Point(77.560288888 12.970213888),1.653,10,disease outbreak,http://www.wikidata.org/entity/Q3241045,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Karnataka,
